Gene name,Mouse gene name,Mouse homology type
si:dkey-26g8.5,Ctla2a,ortholog_many2many
si:dkey-26g8.5,Ctsll3,ortholog_many2many
si:dkey-26g8.5,Cts3,ortholog_many2many
si:dkey-26g8.5,Ctsj,ortholog_many2many
si:dkey-26g8.5,Ctsq,ortholog_many2many
si:dkey-26g8.5,Ctsl,ortholog_many2many
si:dkey-26g8.5,Ctsr,ortholog_many2many
si:dkey-26g8.5,Ctsm,ortholog_many2many
si:dkey-26g8.5,Cts6,ortholog_many2many
adgrb1b,Adgrb1,ortholog_one2many
tor4ab,Tor4a,ortholog_one2many
ciao2b,Ciao2b,ortholog_one2one
sh3bgrl3,Sh3bgrl3,ortholog_one2one
si:ch211-214c7.4,Prr36,ortholog_one2one
itgb3b,Itgb3,ortholog_one2many
steap4,Steap4,ortholog_one2one
plg,Plg,ortholog_one2one
rpl5a,Rpl5,ortholog_one2many
deptor,Deptor,ortholog_one2one
gnb5a,Gnb5,ortholog_one2many
adamts9,Adamts9,ortholog_one2one
MATCAP2,Matcap2,ortholog_one2one
b3gntl1,B3gntl1,ortholog_one2one
phyhd1,Phyhd1,ortholog_one2one
agtrap,Agtrap,ortholog_one2one
zzz3,Zzz3,ortholog_one2one
parp16,Parp16,ortholog_one2one
nlgn4xa,,ortholog_one2many
pudp,Pudp,ortholog_one2one
mxd4,Mxd4,ortholog_one2one
tyw1,Tyw1,ortholog_one2one
ambp,Ambp,ortholog_one2one
arpp19b,Arpp19,ortholog_one2many
rps28,Rps28,ortholog_one2one
chka,Chka,ortholog_one2one
cdh28,Cdh3,ortholog_one2many
tacr3a,Tacr3,ortholog_one2many
ctslb,4930486L24Rik,ortholog_many2many
ctslb,Cts8,ortholog_many2many
ctslb,BC051665,ortholog_many2many
ctslb,Cts7,ortholog_many2many
ctslb,Ctla2b,ortholog_many2many
ctslb,Ctla2a,ortholog_many2many
ctslb,Ctsll3,ortholog_many2many
ctslb,Cts3,ortholog_many2many
ctslb,Ctsj,ortholog_many2many
ctslb,Ctsq,ortholog_many2many
ctslb,Ctsl,ortholog_many2many
ctslb,Ctsr,ortholog_many2many
ctslb,Ctsm,ortholog_many2many
ctslb,Cts6,ortholog_many2many
ebag9,Ebag9,ortholog_one2one
f13a1b,F13a1,ortholog_one2one
colec11,Colec11,ortholog_one2one
si:dkey-256e7.5,Spata21,ortholog_many2many
si:dkey-163f12.6,Fhad1,ortholog_one2many
grm6b,Grm6,ortholog_one2many
thy1,Thy1,ortholog_one2many
mybl2b,Mybl2,ortholog_one2one
ccsapa,Ccsap,ortholog_one2many
ahcyl1,Ahcyl1,ortholog_one2one
mif4gda,Mif4gd,ortholog_one2many
drd4a,Drd4,ortholog_one2many
atp1a2a,Atp1a2,ortholog_one2one
ccr10,Ccr10,ortholog_one2one
arhgap21b,Arhgap21,ortholog_one2many
apmap,Apmap,ortholog_one2one
pvrl2l,Cd200l1,ortholog_many2many
pvrl2l,Cd200l2,ortholog_many2many
pvrl2l,Pvr,ortholog_many2many
pvrl2l,Tigit,ortholog_many2many
pvrl2l,Nectin2,ortholog_many2many
hephl1b,Heph,ortholog_one2one
iffo1b,Iffo1,ortholog_one2many
grb7,Grb7,ortholog_one2one
ext1a,Ext1,ortholog_one2many
nubp1,Nubp1,ortholog_one2one
doc2b,Doc2b,ortholog_one2one
tmc8,Tmc8,ortholog_one2one
rprma,Rprm,ortholog_one2many
ankk1,Ankk1,ortholog_one2one
trmt1l,Trmt1l,ortholog_one2one
,H3c2,ortholog_one2many
,H3c6,ortholog_one2many
lyplal1,Lyplal1,ortholog_one2one
rbm48,Rbm48,ortholog_one2one
igbp1,Igbp1,ortholog_one2many
igbp1,Igbp1b,ortholog_one2many
gsk3ab,Gsk3a,ortholog_one2many
FP325123.1,H3c4,ortholog_one2many
gpr158b,Gpr158,ortholog_one2many
dazap1,Dazap1,ortholog_one2one
trpc4a,Trpc4,ortholog_one2many
zc3h11a,Zc3h11a,ortholog_one2one
nf1b,Nf1,ortholog_one2many
dcaf12,Dcaf12,ortholog_one2one
atp8b4,Atp8b4,ortholog_one2one
rnf169,Rnf169,ortholog_one2one
aimp1a,Aimp1,ortholog_one2many
creb3l3l,Creb3,ortholog_one2one
cd82a,Cd82,ortholog_one2many
fbxo15,Fbxo15,ortholog_one2many
psmb7,Psmb7,ortholog_one2one
col8a1b,Col8a1,ortholog_one2one
dnmt3ab,Dnmt3a,ortholog_one2many
sla2,Sla2,ortholog_one2many
matn3a,Matn3,ortholog_one2many
lrrc4ba,Lrrc4b,ortholog_one2many
atg3,Atg3,ortholog_one2one
sh3glb1b,Sh3glb1,ortholog_one2many
pagr1,Gm42742,ortholog_one2many
pagr1,Pagr1a,ortholog_one2many
eif4h,Eif4h,ortholog_one2one
skia,Ski,ortholog_one2one
mdh1b,Mdh1b,ortholog_one2one
znf507,Zfp507,ortholog_one2one
josd1,Josd1,ortholog_one2one
zgc:162025,2210016L21Rik,ortholog_one2one
cd81a,Cd81,ortholog_one2many
rnf141,Rnf141,ortholog_one2one
mydgf,Mydgf,ortholog_one2one
pkp3b,Pkp3,ortholog_one2many
tnfaip8l1,Tnfaip8l1,ortholog_one2one
march5,Marchf5,ortholog_one2one
ihhb,Dhh,ortholog_many2many
bmi1b,Bmi1,ortholog_one2many
ccdc90b,Ccdc90b,ortholog_one2one
rpl5b,Rpl5,ortholog_one2many
g3bp2,G3bp2,ortholog_one2many
timm23a,Timm23,ortholog_one2many
nyx,Nyx,ortholog_one2one
rpap1,Rpap1,ortholog_one2one
nutf2,Nutf2,ortholog_one2many
nutf2,Nutf2-ps1,ortholog_one2many
ift46,Ift46,ortholog_one2one
nat15,Naa60,ortholog_one2one
prune2,Prune2,ortholog_one2one
si:ch211-162k9.6,Nxpe5,ortholog_one2many
cebpz,Cebpz,ortholog_one2many
yars2,Yars2,ortholog_one2one
ndufaf7,Ndufaf7,ortholog_one2one
btk,Btk,ortholog_one2one
itpkca,Itpkc,ortholog_one2many
ddx59,Ddx59,ortholog_one2one
tmc2b,Tmc2,ortholog_one2many
chrna5,Chrna5,ortholog_one2one
timm17b,Timm17b,ortholog_one2one
yeats4,Yeats4,ortholog_one2one
fmoda,Fmod,ortholog_one2many
gypc,Gypc,ortholog_one2one
zcrb1,Zcrb1,ortholog_one2one
pcdh11,Pcdh11x,ortholog_one2one
utp4,Utp4,ortholog_one2one
ost4,Ost4,ortholog_one2one
mfrp,Mfrp,ortholog_one2one
arsg,Arsg,ortholog_one2many
tbcc,Tbcc,ortholog_one2one
dalrd3,Dalrd3,ortholog_one2one
adipor1a,Adipor1,ortholog_one2many
si:ch73-281i18.7,Map7d1,ortholog_one2many
arhgef38,Arhgef38,ortholog_one2one
ncoa5,Ncoa5,ortholog_one2one
arhgdig,Arhgdig,ortholog_one2one
tnni1a,Tnni1,ortholog_one2many
cnot6l,Cnot6l,ortholog_one2one
ddr2b,Ddr2,ortholog_one2many
spint1b,Eppin,ortholog_many2many
spint1b,Wfdc6a,ortholog_many2many
spint1b,Wfdc6b,ortholog_many2many
spint1b,Spint4,ortholog_many2many
spint1b,Spint1,ortholog_many2many
spint1b,Wfdc8,ortholog_many2many
spint1b,Lrp11,ortholog_many2many
sftpbb,Sftpb,ortholog_many2many
sftpbb,Psapl1,ortholog_many2many
tbl1xr1a,Tbl1xr1,ortholog_one2many
kcnk6,Kcnk6,ortholog_one2one
psd2,Psd2,ortholog_one2one
smarcd1,Smarcd1,ortholog_one2one
si:dkeyp-72g9.4,Depp1,ortholog_one2many
nts,Nts,ortholog_one2one
pi15a,Pi15,ortholog_one2many
ptbp3,Ptbp3,ortholog_one2one
prkag3a,Prkag3,ortholog_one2many
itgb5,Itgb5,ortholog_one2one
cyp1b1,Cyp1b1,ortholog_one2one
sgca,Sgca,ortholog_one2one
terb1,Terb1,ortholog_one2one
kctd8,Kctd8,ortholog_one2one
ttpal,Ttpal,ortholog_one2one
aldh16a1,Aldh16a1,ortholog_one2one
BDKRB2,Bdkrb2,ortholog_one2one
rtcb,Rtcb,ortholog_one2one
ptprfb,Ptprf,ortholog_one2one
stoml1,Stoml1,ortholog_one2one
rubcnl,Rubcnl,ortholog_one2one
il15,Il15,ortholog_one2many
nmnat2,Nmnat2,ortholog_one2one
F2R,F2r,ortholog_one2many
fmnl1a,Fmnl1,ortholog_one2many
crot,Crot,ortholog_one2one
glsb,Gls,ortholog_one2many
itgbl1,Itgb4,ortholog_one2many
tnnt2a,Tnnt2,ortholog_one2many
birc6,Birc6,ortholog_one2one
fam102bb,Eeig2,ortholog_one2many
cacng8b,Cacng8,ortholog_one2many
smpd2b,Smpd2,ortholog_one2many
hcfc2,Klhdc9,ortholog_many2many
selenok,Selenok,ortholog_one2one
elfn2a,Elfn2,ortholog_one2many
ccn4a,Ccn4,ortholog_one2many
ccdc24,Ccdc24,ortholog_one2one
ccny,Ccny,ortholog_one2one
ntn2,Ntn3,ortholog_one2one
csmd2,Cr2,ortholog_one2one
lft2,Lefty1,ortholog_many2many
lft2,Lefty2,ortholog_many2many
ugp2b,Ugp2,ortholog_one2many
pnocb,Pnoc,ortholog_one2many
C5H2orf68,0610030E20Rik,ortholog_one2one
mtmr10,Mtmr10,ortholog_one2one
myo15ab,Myo15a,ortholog_one2many
dnmt3bb.3,Dnmt3l,ortholog_many2many
dmtn,Dmtn,ortholog_one2one
thrap3b,Thrap3,ortholog_one2many
diras1b,Diras1,ortholog_one2many
calm1a,Calml3,ortholog_many2many
calm1a,Calm3,ortholog_many2many
cnep1r1,Cnep1r1,ortholog_one2one
RIN2,Rin2,ortholog_one2many
rrp7a,Rrp7a,ortholog_one2one
tsr2,Tsr2,ortholog_one2one
dhcr7,Dhcr7,ortholog_one2one
zc3h12a,Zc3h12a,ortholog_one2many
si:ch211-125e6.13,Reg1,ortholog_many2many
si:ch211-125e6.13,Reg2,ortholog_many2many
ccr11.1,Ccr4,ortholog_many2many
ccr11.1,Ccr2,ortholog_many2many
ccr11.1,Ccr1,ortholog_many2many
ccr11.1,Ccr1l1,ortholog_many2many
ccr11.1,Ccrl2,ortholog_many2many
ccr11.1,Ccr3,ortholog_many2many
ccr11.1,Ccr5,ortholog_many2many
mc3r,Mc3r,ortholog_one2one
dffb,Dffb,ortholog_one2one
nrp2a,Nrp2,ortholog_one2many
rhd,Rhd,ortholog_one2one
oscp1a,Lsm10,ortholog_one2many
ints3,Ints3,ortholog_one2one
atp6v1h,Atp6v1h,ortholog_one2one
slc16a12b,Slc16a12,ortholog_one2many
zmp:0000000729,Mbl1,ortholog_many2many
zmp:0000000729,Mbl2,ortholog_many2many
sh3kbp1,Sh3kbp1,ortholog_one2one
si:ch73-56d11.5,Ms4a2,ortholog_many2many
si:ch73-56d11.5,Ms4a15,ortholog_many2many
si:ch73-56d11.5,Ms4a7,ortholog_many2many
si:ch73-56d11.5,Ms4a20,ortholog_many2many
si:ch73-56d11.5,Ms4a14,ortholog_many2many
si:ch73-56d11.5,Ms4a19,ortholog_many2many
si:ch73-56d11.5,Ms4a18,ortholog_many2many
si:ch73-56d11.5,Ms4a13,ortholog_many2many
si:ch73-56d11.5,Ms4a6c,ortholog_many2many
si:ch73-56d11.5,Ms4a6b,ortholog_many2many
si:ch73-56d11.5,Ms4a6d,ortholog_many2many
si:ch73-56d11.5,Ms4a1,ortholog_many2many
si:ch73-56d11.5,Ms4a5,ortholog_many2many
si:ch73-56d11.5,Ms4a10,ortholog_many2many
kmt2cb,Kmt2c,ortholog_one2many
rhbdd2,Rhbdd2,ortholog_many2many
slc25a11,Slc25a11,ortholog_one2one
jupa,Jup,ortholog_one2many
uox,Uox,ortholog_one2one
arl8,Arl5b,ortholog_one2one
syngap1b,Syngap1,ortholog_one2many
atp9b,Atp9b,ortholog_one2one
cntnap3,Cntnap3,ortholog_one2one
nrip1b,Nrip1,ortholog_one2many
slc17a7b,Slc17a7,ortholog_one2many
bbs10,Bbs10,ortholog_one2one
casp8ap2,Casp8ap2,ortholog_one2one
psme2,Psme2b,ortholog_one2many
psme2,Psme2,ortholog_one2many
brpf3a,Brpf3,ortholog_one2many
olfm1b,Olfm1,ortholog_one2many
grin2cb,Grin2c,ortholog_one2one
sh3d21,Sh3d21,ortholog_one2one
nectin1b,Nectin1,ortholog_one2many
mrpl40,Mrpl40,ortholog_one2one
usp43a,Usp43,ortholog_one2many
plekho1a,Plekho1,ortholog_one2many
tmem9b,Tmem9b,ortholog_one2one
si:ch211-166i24.1,Tenm2,ortholog_one2many
pros1,Pros1,ortholog_one2one
gnai2b,Gnai2,ortholog_one2many
vipr2,Vipr2,ortholog_one2one
map2k1,Map2k1,ortholog_one2one
fmnl2a,Fmnl2,ortholog_one2one
ehbp1,Ehbp1,ortholog_one2one
cox10,Cox10,ortholog_one2one
mcoln1a,Mcoln1,ortholog_one2many
pwp1,Pwp1,ortholog_one2one
ugt2a7,Ugt2a3,ortholog_many2many
ugt2a7,Ugt1a6b,ortholog_many2many
ugt2a7,Ugt1a6a,ortholog_many2many
ugt2a7,Ugt1a7c,ortholog_many2many
ugt2a7,Ugt1a2,ortholog_many2many
ugt2a7,Ugt1a5,ortholog_many2many
ugt2a7,Ugt2a2,ortholog_many2many
ugt2a7,Ugt2a1,ortholog_many2many
ugt2a7,Ugt1a9,ortholog_many2many
ugt2a7,Ugt1a8,ortholog_many2many
ugt2a7,Ugt1a10,ortholog_many2many
meak7,Meak7,ortholog_one2one
gas6,Gas6,ortholog_one2one
slc7a1a,Slc7a1,ortholog_one2many
mief1,Mief1,ortholog_one2one
stk17b,Stk17b,ortholog_one2one
mrps10,Mrps10,ortholog_one2one
hgd,Hgd,ortholog_one2one
grik4,Grik4,ortholog_one2one
smarca1,Smarca1,ortholog_one2one
sorbs2b,Sorbs2,ortholog_one2many
zgc:172053,Reg1,ortholog_many2many
zgc:172053,Reg2,ortholog_many2many
ckmt1,Ckmt1,ortholog_one2one
dennd6b,Dennd6b,ortholog_one2one
vwa2,Vwa2,ortholog_one2one
gmppb,Gmppb,ortholog_one2one
gcc1,Gcc1,ortholog_one2one
gal3st1b,Gal3st1,ortholog_one2many
tagln3a,Tagln3,ortholog_one2one
si:zfos-2330d3.7,Mfap4,ortholog_one2many
waslb,Wasl,ortholog_one2many
lyn,Tgs1,ortholog_one2one
cnga3b,Cnga3,ortholog_one2many
serpinb1,Serpinb1c,ortholog_many2many
serpinb1,Serpinb1a,ortholog_many2many
serpinb1,Serpinb1b,ortholog_many2many
kat6b,Kat6b,ortholog_one2one
polb,Polb,ortholog_one2one
btf3l4,Btf3l4b,ortholog_one2many
btf3l4,Btf3l4,ortholog_one2many
fam222bb,Fam222b,ortholog_one2many
paxx,Paxx,ortholog_one2one
zgc:92335,Mmadhc,ortholog_one2many
si:ch73-173p19.2,Atp6v0a4,ortholog_one2one
arxa,Arx,ortholog_one2many
ubap1la,Ubap1l,ortholog_one2one
ift52,Ift52,ortholog_one2one
NINJ1,Ninj1,ortholog_one2one
kctd3,Kctd3,ortholog_one2one
sdha,Sdha,ortholog_one2one
abca3b,Abca3,ortholog_one2one
ubap2a,Ubap2,ortholog_one2many
setd6,Setd6,ortholog_one2one
ufm1,Ufm1,ortholog_one2one
radil,Radil,ortholog_one2one
kif13ba,Kif13b,ortholog_one2many
zeb1b,Zeb1,ortholog_one2many
taok2b,Taok2,ortholog_one2many
zgc:110366,Akr1b10,ortholog_many2many
zgc:110366,Akr1b7,ortholog_many2many
zgc:110366,Akr1b8,ortholog_many2many
zgc:110366,Akr1c19,ortholog_many2many
zgc:110366,Akr1c12,ortholog_many2many
zgc:110366,Akr1c13,ortholog_many2many
slc7a2,Slc7a2,ortholog_many2many
slc7a2,Slc7a12,ortholog_many2many
slc7a2,Slc7a13,ortholog_many2many
slc7a2,Slc7a11,ortholog_many2many
slc7a2,AU018091,ortholog_many2many
krr1,Krr1,ortholog_one2one
slc26a6,Slc26a6,ortholog_one2many
taf6,Taf6,ortholog_one2one
wdhd1,Wdhd1,ortholog_one2one
thbs2b,Thbs2,ortholog_one2many
acvr1ba,Acvr1b,ortholog_one2one
rxfp3,Rxfp3,ortholog_one2one
mfn1b,Mfn1,ortholog_one2many
otol1b,Otol1,ortholog_one2many
h2az2a,H2az2,ortholog_one2many
rpp21,Rpp21,ortholog_one2one
ddhd2,Ddhd2,ortholog_one2one
mtnr1aa,Mtnr1a,ortholog_one2many
si:dkey-35i13.1,AI593442,ortholog_one2one
ep300a,Ep300,ortholog_one2many
purba,Purb,ortholog_one2many
tmem123,Tmem123,ortholog_one2one
ctnnd1,Ctnnd1,ortholog_one2one
pde10a,Pde10a,ortholog_one2one
bambia,Bambi,ortholog_one2one
olfm1a,Olfm1,ortholog_one2many
dyrk3,Dyrk3,ortholog_one2one
kcns3a,Kcns3,ortholog_one2many
rev3l,Rev3l,ortholog_one2one
sox10,Sox10,ortholog_one2one
asic2,Asic2,ortholog_one2one
rxfp2a,Rxfp2,ortholog_one2many
lft1,Lefty1,ortholog_many2many
lft1,Lefty2,ortholog_many2many
pdhb,Pdhb,ortholog_one2one
ephb2a,Ephb2,ortholog_one2many
tceanc2,Tceanc2,ortholog_one2one
hsf1,Hsf3,ortholog_one2many
atp8b3,Atp8b3,ortholog_one2one
trmt12,Trmt12,ortholog_one2one
ttll1,Ttll1,ortholog_one2one
gpa33a,Esam,ortholog_one2many
dimt1l,Dimt1,ortholog_one2one
nlgn1,Nlgn1,ortholog_one2one
mbnl3,Mbnl3,ortholog_one2one
p2ry10,P2ry10,ortholog_one2many
p2ry10,P2ry10b,ortholog_one2many
trpc6a,Trpc6,ortholog_one2many
oxgr1a.3,Oxgr1,ortholog_one2many
entpd6,Entpd6,ortholog_one2one
gprc5bb,Gprc5b,ortholog_one2many
fgf3,Fgf3,ortholog_one2one
slco3a1,Slco3a1,ortholog_one2many
evi5b,Evi5,ortholog_one2one
vsnl1b,Vsnl1,ortholog_one2many
las1l,Las1l,ortholog_one2one
fam210ab,Fam210a,ortholog_one2many
tmem63c,Tmem63c,ortholog_one2one
ccne1,Ccne1,ortholog_one2one
rfx5,Rfx5,ortholog_one2one
kctd2,Kctd2,ortholog_one2one
gfm2,Gfm2,ortholog_one2one
hexdc,Hexdc,ortholog_one2one
dtymk,Dtymk,ortholog_one2one
apba2b,Apba2,ortholog_one2many
wfdc1,Wfdc1,ortholog_one2one
rgs7a,Rgs7,ortholog_one2many
nrg1,Nrg1,ortholog_one2one
si:ch211-117k10.3,Klf17,ortholog_many2many
si:ch211-117k10.3,Klf14,ortholog_many2many
si:ch211-117k10.3,Zfp352,ortholog_many2many
kcnt1,Kcnt1,ortholog_one2many
nck2a,Nck2,ortholog_one2many
bco2a,Bco2,ortholog_one2many
pacsin3,Pacsin3,ortholog_one2one
slc5a1,Slc5a1,ortholog_one2one
orai2,Orai2,ortholog_one2one
selenot1a,Selenot,ortholog_one2many
mrps36,Mrps36,ortholog_one2one
plin2,Plin2,ortholog_one2one
lias,Lias,ortholog_one2one
asah1a,Asah1,ortholog_one2many
mtmr12,Mtmr12,ortholog_one2one
irak1bp1,Irak1bp1,ortholog_one2one
otud7b,Otud7b,ortholog_one2one
asap1a,Asap1,ortholog_one2many
tbc1d24,Tbc1d24,ortholog_one2one
