Gene name,Tropical clawed frog gene name,Tropical clawed frog homology type
nts,nts,ortholog_one2one
ptbp3,ptbp3,ortholog_one2one
prkag3a,prkag3,ortholog_one2many
itgb5,itgb5,ortholog_one2one
cyp1b1,cyp1b1,ortholog_one2one
si:dkey-23n7.10,,ortholog_one2one
sgca,rrp1b,ortholog_one2one
terb1,terb1,ortholog_one2one
kctd8,KCTD8,ortholog_one2one
ttpal,ttpal,ortholog_one2one
BDKRB2,bdkrb2,ortholog_one2one
rtcb,rtcb,ortholog_one2one
ptprfb,ptprf,ortholog_one2one
stoml1,stoml1,ortholog_one2one
rubcnl,rubcnl,ortholog_one2one
nmnat2,nmnat2,ortholog_one2one
F2R,f2r,ortholog_one2many
fmnl1a,fmnl1,ortholog_one2many
crot,crot,ortholog_one2one
glsb,gls,ortholog_one2many
itgbl1,itgb4,ortholog_one2many
tnnt2a,tnnt2,ortholog_one2many
lrriq1,lrriq1,ortholog_one2one
birc6,birc6,ortholog_one2one
fam102bb,fam102b,ortholog_one2many
cacng8b,cacng8,ortholog_one2many
si:dkey-208m12.2,btnl8,ortholog_many2many
si:dkey-208m12.2,,ortholog_many2many
si:dkey-208m12.2,btn2a1,ortholog_many2many
si:dkey-208m12.2,btnl2,ortholog_many2many
si:dkey-208m12.2,btn2a2,ortholog_many2many
smpd2b,smpd2,ortholog_one2many
hcfc2,klhdc9,ortholog_many2many
selenok,selenok,ortholog_one2one
kcnc3a,,ortholog_one2one
elfn2a,elfn2,ortholog_one2many
ccn4a,ccn4,ortholog_one2many
ccny,ccny,ortholog_one2one
ntn2,ntn3,ortholog_one2one
csmd2,c4bpa,ortholog_one2one
lft2,lefty,ortholog_one2many
ugp2b,ugp2,ortholog_one2many
pnocb,pnoc,ortholog_one2many
C5H2orf68,c2orf68,ortholog_one2one
si:ch211-63o20.7,stk35,ortholog_many2many
mtmr10,mtmr10,ortholog_one2one
myo15ab,MYO15A,ortholog_one2many
dmtn,dmtn,ortholog_one2one
thrap3b,thrap3,ortholog_one2many
diras1b,diras1,ortholog_one2many
cnep1r1,cnep1r1,ortholog_one2one
RIN2,rin2,ortholog_one2many
rrp7a,rrp7a,ortholog_one2one
tsr2,tsr2,ortholog_one2one
dhcr7,dhcr7,ortholog_one2one
cyp2k8,cyp2w1,ortholog_one2many
zc3h12a,zc3h12a,ortholog_one2many
ccr11.1,ccr2,ortholog_one2many
mc3r,mc3r,ortholog_one2one
dffb,dffb,ortholog_one2one
nrp2a,nrp2,ortholog_one2many
rhd,rhd,ortholog_one2one
oscp1a,lsm10,ortholog_one2many
ints3,ints3,ortholog_one2one
atp6v1h,atp6v1h,ortholog_one2one
slc16a12b,slc16a12,ortholog_one2many
zmp:0000000729,mbl2,ortholog_one2many
sh3kbp1,sh3kbp1,ortholog_one2one
kmt2cb,kmt2c,ortholog_one2many
rhbdd2,rhbdd2,ortholog_one2one
slc25a11,slc25a11,ortholog_one2one
jupa,jup,ortholog_one2many
uox,uox,ortholog_one2one
arl8,arl5b,ortholog_one2one
syngap1b,syngap1,ortholog_one2many
atp9b,atp9b,ortholog_one2one
mxra5a,mxra5,ortholog_one2many
cntnap3,cntnap4,ortholog_one2one
nrip1b,nrip1,ortholog_one2many
slc17a7b,slc17a7,ortholog_one2many
bbs10,bbs10,ortholog_one2one
casp8ap2,casp8ap2,ortholog_one2one
psme2,psme2,ortholog_one2one
brpf3a,brpf3,ortholog_one2many
trim35-28,MGC147490,ortholog_many2many
trim35-28,xnf7,ortholog_many2many
si:dkey-14o18.2,,ortholog_one2many
olfm1b,olfm1,ortholog_one2many
grin2cb,grin2c,ortholog_one2one
smim15,smim15,ortholog_one2one
sh3d21,sh3d21,ortholog_one2one
nectin1b,nectin1,ortholog_one2many
mrpl40,mrpl40,ortholog_one2one
usp43a,usp43,ortholog_one2many
plekho1a,plekho1,ortholog_one2many
tmem9b,TMEM9B,ortholog_one2one
pros1,pros1,ortholog_one2one
gnai2b,gnai2,ortholog_one2many
vipr2,vipr2,ortholog_one2one
map2k1,map2k1,ortholog_one2one
fmnl2a,fmnl2,ortholog_one2one
ehbp1,ehbp1,ortholog_one2one
cox10,cox10,ortholog_one2one
mcoln1a,fzr1,ortholog_one2many
pwp1,pwp1,ortholog_one2one
meak7,meak7,ortholog_one2one
gas6,gas6,ortholog_one2one
slc7a1a,slc7a1,ortholog_one2many
mief1,mief1,ortholog_one2one
mrps10,mrps10,ortholog_one2one
hgd,hgd,ortholog_one2one
grik4,grik4,ortholog_one2one
smarca1,smarca1,ortholog_one2one
sorbs2b,sorbs2,ortholog_one2many
cmc2,cmc2,ortholog_one2one
ckmt1,ckmt1b,ortholog_one2one
dennd6b,dennd6b,ortholog_one2one
vwa2,vwa2,ortholog_one2one
gmppb,gmppb,ortholog_one2one
gcc1,gcc1,ortholog_one2one
gal3st1b,gal3st1,ortholog_one2many
si:dkeyp-3f10.17,,ortholog_many2many
si:zfos-2330d3.7,mfap4.2,ortholog_many2many
si:zfos-2330d3.7,,ortholog_many2many
si:zfos-2330d3.7,XB5913531 [provisional:mfap4],ortholog_many2many
waslb,wasl,ortholog_one2many
lyn,tgs1,ortholog_one2one
cnga3b,cnga3,ortholog_one2many
polb,polb,ortholog_one2one
zgc:123107,hla-dqa1,ortholog_one2many
btf3l4,btf3l4,ortholog_one2one
fam222bb,fam222b,ortholog_one2many
zgc:92335,mmadhc,ortholog_one2many
si:ch73-173p19.2,atp6v0a4,ortholog_one2one
trim35-22,MGC147490,ortholog_many2many
trim35-22,xnf7,ortholog_many2many
arxa,arx,ortholog_one2many
calr3a,actr3,ortholog_one2many
calr3a,calr,ortholog_one2many
MCHR2,mchr2,ortholog_one2many
ubap1la,ubap1l,ortholog_one2one
NINJ1,ninj1,ortholog_one2one
kctd3,kctd3,ortholog_one2one
cart3,mgc145330,ortholog_one2many
znf1026,,ortholog_many2many
znf1026,znf184,ortholog_many2many
sdha,sdha,ortholog_one2one
abca3b,abca3,ortholog_one2one
ubap2a,ubap2,ortholog_one2many
setd6,setd6,ortholog_one2one
ufm1,ufm1,ortholog_one2one
kif13ba,slc49a4,ortholog_one2many
zeb1b,zeb1,ortholog_one2many
taok2b,taok2,ortholog_one2many
zgc:110366,XB5731323 [provisional],ortholog_one2one
slc7a2,,ortholog_many2many
slc7a2,slc7a2.1,ortholog_many2many
slc7a2,slc7a13,ortholog_many2many
slc7a2,slc7a11,ortholog_many2many
slc7a2,slc7a2.2,ortholog_many2many
krr1,krr1,ortholog_one2one
slc26a6,slc26a6,ortholog_many2many
taf6,taf6,ortholog_one2one
wdhd1,wdhd1,ortholog_one2one
thbs2b,thbs2,ortholog_one2many
acvr1ba,acvr1b,ortholog_one2one
rxfp3,,ortholog_one2one
mfn1b,mfn1,ortholog_one2many
otol1b,otol1,ortholog_one2many
si:dkey-23c22.5,,ortholog_one2many
rpp21,rpp21,ortholog_one2one
ddhd2,ddhd2,ortholog_one2many
ddhd2,,ortholog_one2many
mtnr1aa,MTNR1A,ortholog_one2many
si:dkey-35i13.1,c11orf87,ortholog_one2one
ep300a,ep300,ortholog_one2many
purba,,ortholog_one2many
tmem123,tmem123,ortholog_one2one
ctnnd1,ctnnd1,ortholog_one2one
pde10a,pde10a,ortholog_one2one
bambia,bambi,ortholog_one2one
olfm1a,olfm1,ortholog_one2many
dyrk3,dyrk3,ortholog_one2one
kcns3a,kcns3,ortholog_one2many
rev3l,rev3l,ortholog_one2one
sox10,sox10,ortholog_one2one
asic2,asic2,ortholog_one2one
si:ch211-126j24.1,,ortholog_many2many
rxfp2a,rxfp2,ortholog_one2many
lft1,lefty,ortholog_one2many
pdhb,pdhb,ortholog_one2one
ephb2a,,ortholog_one2many
hsf1,hsf3,ortholog_one2many
atp8b3,atp8b3,ortholog_one2one
trmt12,trmt12,ortholog_one2one
ttll1,ttll1,ortholog_one2one
tmtopsb,tmtops.2,ortholog_one2many
gpa33a,esam,ortholog_one2many
dimt1l,dimt1,ortholog_one2one
nlgn1,nlgn1,ortholog_one2one
mbnl3,mbnl3,ortholog_one2one
p2ry10,p2ry10,ortholog_one2one
trpc6a,trpc6,ortholog_one2many
entpd6,apmap,ortholog_one2one
gprc5bb,gprc5b,ortholog_one2many
fgf3,fgf3,ortholog_one2one
slco3a1,slco3a1,ortholog_one2many
evi5b,evi5,ortholog_one2one
vsnl1b,vsnl1,ortholog_one2many
las1l,las1l,ortholog_one2one
fam210ab,fam210a,ortholog_one2many
tmem63c,tmem63c,ortholog_one2one
ccne1,ccne1,ortholog_one2one
rfx5,rfx5,ortholog_one2one
kctd2,KCTD2,ortholog_one2one
ercc5,ercc5,ortholog_one2one
gfm2,gfm2,ortholog_one2one
hexdc,hexd,ortholog_one2one
dtymk,dtymk,ortholog_one2one
apba2b,apba2,ortholog_one2many
wfdc1,wfdc1,ortholog_one2one
nrg1,nrg1,ortholog_one2one
si:ch211-117k10.3,klf15.2,ortholog_one2one
kcnt1,kcnt1,ortholog_one2many
nck2a,nck2,ortholog_one2many
bco2a,bco2,ortholog_many2many
bco2a,bco2l,ortholog_many2many
pacsin3,pacsin3,ortholog_one2one
slc5a1,slc5a1.1,ortholog_one2one
orai2,orai1,ortholog_one2one
selenot1a,selenot,ortholog_one2many
mrps36,mrps36,ortholog_one2one
plin2,plin2,ortholog_one2one
lias,lias,ortholog_one2one
asah1a,asah1,ortholog_one2many
mtmr12,mtmr12,ortholog_one2one
irak1bp1,irak1bp1,ortholog_one2one
otud7b,otud7b,ortholog_one2one
asap1a,asap1,ortholog_one2many
tbc1d24,tbc1d24.1,ortholog_one2one
lbx1a,lbx1,ortholog_many2many
trim71,trim71,ortholog_one2one
cpsf6,cpsf6,ortholog_one2one
clcn7,clcn7,ortholog_one2one
usp9,usp9x,ortholog_one2one
ubb,,ortholog_one2one
id4,id4,ortholog_one2one
sinhcaf,sinhcaf,ortholog_one2one
fuca1.1,fuca1,ortholog_one2many
sdhaf4,sdhaf4,ortholog_one2one
TTC9,ttc9,ortholog_one2one
lrpap1,slc17a6,ortholog_one2one
si:dkey-197c15.6,,ortholog_many2many
rbms3,rbms3,ortholog_one2one
tcf20,tcf20,ortholog_one2one
chd2,chd2,ortholog_one2one
st6gal2a,st6gal2,ortholog_one2many
zgc:85936,ankle1,ortholog_one2one
cnot9,cnot9,ortholog_one2one
alas1,alas1,ortholog_one2one
polr1b,polr1b,ortholog_one2one
parvab,parva,ortholog_one2many
rgs8,rgs8,ortholog_one2one
zgc:172065,,ortholog_many2many
smc4,smc4,ortholog_one2one
syt6b,syt6,ortholog_one2many
chaf1a,chaf1a,ortholog_one2one
ddt,ddt,ortholog_one2one
hmgcrb,hmgcr,ortholog_one2many
ccdc151,cdk4,ortholog_one2one
acbd3,acbd3,ortholog_one2many
zgc:152968,XB5934250 [provisional],ortholog_many2many
CU467646.7,,ortholog_many2many
CU467646.7,MGC146893,ortholog_many2many
CU467646.7,znf84,ortholog_many2many
zgc:171517,qdpr,ortholog_one2many
alox5a,alox5,ortholog_one2many
epha4a,epha4,ortholog_one2many
mtap,mtap,ortholog_one2one
CU861903.1,MGC147490,ortholog_many2many
CU861903.1,xnf7,ortholog_many2many
tmem51b,tmem51,ortholog_one2many
cdca4,cdca4,ortholog_one2one
ntn1a,NTN1,ortholog_one2many
ptprh,ptprh,ortholog_one2many
myh9b,myh9,ortholog_one2many
pan3,pan3,ortholog_one2one
fam8a1a,FAM8A1,ortholog_one2many
lysmd4,lysmd4,ortholog_one2one
eef2a.2,eif5b,ortholog_many2many
pdca,pdc,ortholog_one2many
e2f8,e2f8,ortholog_one2one
cyp26a1,cyp26a1,ortholog_one2one
lrrc10,LRRC10,ortholog_one2one
elp2,elp2,ortholog_one2one
si:ch211-161c3.6,MGC147402,ortholog_one2one
rbm39a,rbm39,ortholog_one2many
snx9a,snx9,ortholog_one2many
lig1,lig1,ortholog_one2one
cnsta,cnst,ortholog_one2many
slc22a2,slc22a2,ortholog_one2one
znf385b,znf385b,ortholog_one2one
cyp2k22,cyp2w1,ortholog_one2many
chmp4c,chmp4c,ortholog_one2one
slc38a3a,slc38a3,ortholog_one2many
si:dkey-34e4.1,,ortholog_one2one
slc5a5,slc5a5,ortholog_one2one
dipk1aa,dipk1a,ortholog_one2many
slc30a5,slc30a5,ortholog_one2one
LRRC75A,lrrc75a,ortholog_one2one
kif3b,kif3b,ortholog_one2one
armc8,armc8,ortholog_one2one
tmcc2,tmcc2,ortholog_one2one
morn4,MORN4,ortholog_one2one
cdk7,cdk7,ortholog_one2one
zdhhc13,zdhhc13,ortholog_one2one
si:ch1073-110a20.1,mfap4.2,ortholog_many2many
si:ch1073-110a20.1,,ortholog_many2many
si:ch1073-110a20.1,XB5913531 [provisional:mfap4],ortholog_many2many
tbcela,tbcel,ortholog_one2many
smyd2a,smyd2,ortholog_one2one
pcnx4,pcnx4,ortholog_one2one
pnpla4,pnpla4,ortholog_one2one
ptprnb,ptprn,ortholog_one2many
wdfy3,wdfy3,ortholog_one2one
ank3a,ank3,ortholog_one2one
si:dkey-253d23.5,,ortholog_many2many
si:dkey-253d23.5,znf184,ortholog_many2many
cntrl,cntrl,ortholog_one2one
arl14ep,arl14ep,ortholog_one2one
si:ch1073-110a20.3,mfap4.2,ortholog_many2many
si:ch1073-110a20.3,,ortholog_many2many
si:ch1073-110a20.3,XB5913531 [provisional:mfap4],ortholog_many2many
rab11a,rab11a,ortholog_one2one
or137-3,,ortholog_many2many
styxl1,styxl1,ortholog_one2one
rbp3,rbp3,ortholog_one2many
cnr1,cnr1,ortholog_one2one
wdr78,dnai4,ortholog_one2one
malb,mal,ortholog_many2many
malb,,ortholog_many2many
prtgb,prtg,ortholog_one2many
chchd2,gpat3,ortholog_one2one
zgc:112265,itih4,ortholog_one2many
sult1st4,sult1b1,ortholog_one2many
tmem30b,tmem30b,ortholog_one2one
rad21b,rad21,ortholog_one2many
ifitm5,ifitm5,ortholog_one2one
si:dkey-84o3.3,htra2,ortholog_one2many
acot22,baat,ortholog_many2many
acot22,acot2,ortholog_many2many
acot22,jmjd7,ortholog_many2many
acot22,,ortholog_many2many
abhd8b,abhd8,ortholog_one2many
cables1,cables1,ortholog_one2one
mbtps2,mbtps2,ortholog_one2one
med22,med22,ortholog_one2one
vdac2,vdac2,ortholog_one2one
dnpep,dnpep,ortholog_one2one
abca1a,abca1,ortholog_one2many
parp2,parp2,ortholog_one2one
rnf19b,rnf19b,ortholog_one2one
tspan11,,ortholog_one2one
adipor2,adipor2,ortholog_one2one
ddi2,ddi2,ortholog_one2one
prkra,,ortholog_one2many
prkra,prkra,ortholog_one2many
her9,hes4,ortholog_one2one
kcnk1b,kcnk1,ortholog_one2many
corin,rbm42,ortholog_one2one
anxa5b,anxa5,ortholog_one2many
ksr2,ksr2,ortholog_one2one
fzd3a,fzd3,ortholog_one2many
si:ch211-153a8.4,haus8,ortholog_one2one
hao1,hao1,ortholog_one2one
cpsf1,cpsf1,ortholog_one2one
mark3b,mark3,ortholog_one2many
mlh3,mlh3,ortholog_one2one
arhgap29a,arhgap29,ortholog_one2many
si:ch73-269m23.5,gltpd2,ortholog_many2many
si:ch73-269m23.5,cptp,ortholog_many2many
wdr6,wdr6,ortholog_one2one
zgc:174355,rbbp6,ortholog_one2many
med25,med25,ortholog_one2one
