Gene name,Chicken gene name,Chicken homology type
slc25a21,SLC25A21,ortholog_one2one
ankrd9,ANKRD9,ortholog_one2one
CABZ01081777.1,DOK7,ortholog_one2many
aadat,AADAT,ortholog_one2one
wars2,WARS2,ortholog_one2one
cpe,CPE,ortholog_one2one
unc45a,UNC45A,ortholog_one2one
otpb,OTP,ortholog_one2many
c8g,C8G,ortholog_one2one
si:ch73-383g2.1,VAV3,ortholog_one2many
rd3,RD3,ortholog_one2many
chmp1a,CHMP1A,ortholog_one2one
pm20d1.2,PM20D1,ortholog_one2many
dbt,DBT,ortholog_one2one
gata6,GATA6,ortholog_one2one
tmem86a,TMEM86A,ortholog_one2one
SLC24A2,SLC24A2,ortholog_one2many
xpnpep3,XPNPEP3,ortholog_one2one
VIT,VIT,ortholog_one2one
dmbx1a,DMBX1,ortholog_one2many
txlna,TXLNA,ortholog_one2one
nkx2.5,NKX2-5,ortholog_one2one
phactr3b,PHACTR3,ortholog_one2many
rogdi,ROGDI,ortholog_one2one
trappc11,TRAPPC11,ortholog_one2one
lhfpl3,LHFPL3,ortholog_one2one
rdh14b,RDH14,ortholog_one2many
noc4l,NOC4L,ortholog_one2one
lrrc14b,LRRC14B,ortholog_one2one
dap3,DAP3,ortholog_one2one
ube2g1a,UBE2G1,ortholog_one2one
hoxa1a,HOXA1,ortholog_one2one
rnf13,RNF13,ortholog_one2one
nt5e,NT5E,ortholog_one2one
bdnf,BDNF,ortholog_one2one
slc4a2b,SLC4A2,ortholog_one2many
stim1b,STIM1,ortholog_one2many
twnk,C10orf2,ortholog_one2one
anxa4,,ortholog_one2many
epas1a,EPAS1,ortholog_one2many
lsp1a,LSP1P1,ortholog_one2many
tnr,TNR,ortholog_one2one
zbtb43,ZBTB43,ortholog_one2one
spink4,SPINK4,ortholog_one2one
eif4e3,EIF4E3,ortholog_one2one
angel1,ANGEL1,ortholog_one2one
mrpl43,,ortholog_one2one
psmc1a,PSMC1,ortholog_one2many
evx1,EVX1,ortholog_one2many
pus1,PUS1,ortholog_one2one
cisd2,CISD2,ortholog_one2one
si:ch211-191a24.4,,ortholog_one2one
fpgs,FPGS,ortholog_one2one
cfap161,CFAP161,ortholog_one2one
trmt13,TRMT13,ortholog_one2one
XPO5,XPO5,ortholog_one2many
dis3l,DIS3L,ortholog_one2one
nr2e1,NR2E1,ortholog_one2one
lrp1ba,,ortholog_many2many
rassf1,RASSF1,ortholog_one2one
dlg5b.1,DLG5,ortholog_one2many
neurl4,NEURL4,ortholog_one2one
ubn2b,UBN2,ortholog_one2many
g0s2,G0S2,ortholog_one2one
sipa1l1,SIPA1L1,ortholog_one2one
hoxa9a,HOXA9,ortholog_one2many
cacna2d2b,CACNA2D2,ortholog_one2many
spon2b,SPON2,ortholog_one2one
slc25a37,SLC25A37,ortholog_one2one
lmx1ba,LMX1B,ortholog_one2many
herpud2,HERPUD2,ortholog_one2one
adat1,ADAT1,ortholog_one2one
C10H21orf91,C21orf91,ortholog_one2one
si:dkey-88e18.8,MINAR1,ortholog_one2many
asns,ASNS,ortholog_one2one
esyt1b,ESYT1,ortholog_one2many
ppat,PPAT,ortholog_one2one
zgc:153215,RBM12B,ortholog_one2many
tipin,TIPIN,ortholog_one2one
MFAP4,,ortholog_one2many
gab1,GAB1,ortholog_one2one
lrrfip1a,,ortholog_one2one
tfam,TFAM,ortholog_one2one
irx2a,IRX2,ortholog_one2one
cadpsb,,ortholog_one2many
actr3b,,ortholog_one2one
tmem67,TMEM67,ortholog_one2one
si:dkey-91i10.2,ARHGEF1,ortholog_one2one
lrrc39,LRRC39,ortholog_one2one
bcas3,BCAS3,ortholog_one2one
otud3,OTUD3,ortholog_one2one
spred1,SPRED1,ortholog_one2one
mapk8b,MAPK8,ortholog_one2many
tusc2b,TUSC2,ortholog_one2many
stim2b,STIM2,ortholog_one2many
klhl7,KLHL7,ortholog_one2one
pcgf5b,PCGF5,ortholog_one2one
nkx3-1,NKX3-1,ortholog_one2one
hoxa4a,HOXA3,ortholog_one2many
wnt5b,WNT5B,ortholog_one2one
cplx4c,,ortholog_one2one
pgghg,PGGHG,ortholog_one2one
ncbp2,NCBP2,ortholog_one2one
sufu,SUFU,ortholog_one2one
lhfpl2b,LHFPL2,ortholog_one2many
ptbp1a,PTBP1,ortholog_one2many
bicc1b,BICC1,ortholog_one2many
pkdcca,PKDCC,ortholog_one2one
slc22a7b.2,SLC22A7,ortholog_one2many
hspb8,HSPB8,ortholog_one2one
smn1,SMN,ortholog_one2one
lingo1a,LINGO1,ortholog_one2many
necap2,NECAP2,ortholog_one2one
synm,SYNM,ortholog_one2one
iqcb1,IQCB1,ortholog_one2many
pcca,PCCA,ortholog_one2one
frmd6,FRMD6,ortholog_one2one
fbxl14b,FBXL14,ortholog_one2many
cacnb4a,CACNB4,ortholog_one2one
kat14,KAT14,ortholog_one2one
hmcn1,HMCN1,ortholog_one2many
tbx20,TBX20,ortholog_one2one
fbxo44,FBXO44,ortholog_one2many
tmprss3b,TMPRSS3,ortholog_one2many
zfpm2b,ZFPM2,ortholog_one2many
mtif2,MTIF2,ortholog_one2one
drd4b,DRD4,ortholog_one2many
ythdc1,YTHDC1,ortholog_one2one
ccbe1,CCBE1,ortholog_one2one
tmie,,ortholog_one2one
postna,POSTN,ortholog_one2many
cpn1,CPN1,ortholog_one2many
pfn2,PFN2,ortholog_one2many
rtel1,RTEL1,ortholog_one2one
brd9,BRD9,ortholog_one2one
got2b,GOT2,ortholog_one2many
hck,HCK,ortholog_one2one
paics,PAICS,ortholog_one2one
sirt3,SIRT3,ortholog_one2one
ostm1,OSTM1,ortholog_one2one
uqcrb,UQCRB,ortholog_one2one
pon1,PON1,ortholog_one2many
tmem240b,TMEM240,ortholog_one2many
cadm1b,CADM1,ortholog_one2many
hoxa5a,HOXA5,ortholog_one2one
vwa1,VWA1,ortholog_one2one
myoz2b,MYOZ2,ortholog_one2many
syt7b,SYT7,ortholog_one2many
slc25a28,SLC25A28,ortholog_one2one
setd7,SETD7,ortholog_one2one
ada2b,CECR1,ortholog_one2many
hoxa13a,HOXA13,ortholog_one2many
tecpr2,TECPR2,ortholog_one2one
bmp15,BMP15,ortholog_one2one
rpe65b,RPE65,ortholog_one2many
ednrab,EDNRA,ortholog_one2many
hoxa11a,HOXA11,ortholog_one2many
trim36,TRIM36,ortholog_one2one
ube2na,UBE2N,ortholog_one2many
atp6v1e1b,ATP6V1E1,ortholog_one2many
TXN,TXN,ortholog_one2many
fam20cb,FAM20C,ortholog_one2many
klhl18,KLHL18,ortholog_one2one
rest,REST,ortholog_one2one
hipk3b,HIPK3,ortholog_one2one
aqp10a,AQP5,ortholog_many2many
aqp10a,AQP9,ortholog_many2many
aqp10a,AQP10,ortholog_many2many
msmo1,MSMO1,ortholog_one2one
mterf3,MTERF3,ortholog_one2one
phf24,PHF24,ortholog_one2one
trip13,TRIP13,ortholog_one2one
ca14,,ortholog_one2one
polr1d,POLR1D,ortholog_one2one
rnf10,RNF10,ortholog_one2one
wapla,WAPL,ortholog_one2many
armc3,ARMC3,ortholog_one2one
sub1a,,ortholog_many2many
sub1a,SUB1,ortholog_many2many
si:ch211-195d17.2,E2F6,ortholog_one2one
dnajb6b,DNAJB1,ortholog_many2many
atp1a1a.1,ATP1A1,ortholog_one2many
mvb12ba,MVB12B,ortholog_one2many
cthl,CTH,ortholog_one2many
selenot1b,SELENOT,ortholog_one2many
lman1,LMAN1L,ortholog_one2one
ripk4,RIPK4,ortholog_one2one
rasgef1ba,RASGEF1B,ortholog_one2many
irgf4,,ortholog_one2many
DNAH10,DNAH10,ortholog_one2one
b4galt3,B4GALT3,ortholog_one2one
iah1,IAH1,ortholog_one2one
daam1a,DAAM1,ortholog_one2many
carmil3,,ortholog_one2one
si:dkey-266f7.9,,ortholog_one2many
fer,FER,ortholog_one2one
bnip1a,BNIP1,ortholog_one2many
erap1b,ERAP1,ortholog_one2many
scmh1,SCMH1,ortholog_one2one
adam10a,,ortholog_many2many
adam10a,ADAM20L,ortholog_many2many
adam10a,ADAM20,ortholog_many2many
adam10a,ADAM10,ortholog_many2many
ppm1e,PPM1E,ortholog_one2one
mcl1b,MCL1,ortholog_one2many
tuba2,,ortholog_one2one
crip2l,CRIP2,ortholog_one2many
tpst2,TPST2,ortholog_one2one
hif1an,HIF1AN,ortholog_one2one
arhgap25,ARHGAP25,ortholog_one2one
celf3b,,ortholog_many2many
si:ch211-198n5.11,MCCC2L,ortholog_one2one
vps26a,VPS26A,ortholog_one2one
nsun5,NSUN5,ortholog_one2one
b3galt4,,ortholog_one2many
gtf2ird1,GTF2IRD1,ortholog_one2one
prps1b,,ortholog_one2many
prps1b,PRPS2,ortholog_one2many
stard3,STARD3,ortholog_one2one
pgpep1l,PGPEP1L,ortholog_one2one
dennd3a,DENND3,ortholog_one2many
gamt,GAMT,ortholog_one2one
asxl1,ASXL1,ortholog_one2one
il13ra2,IL13RA2,ortholog_one2one
tcp11l1,TCP11L1,ortholog_one2one
KCNT1,KCNT1,ortholog_one2many
nudt4a,,ortholog_one2many
lipca,LIPC,ortholog_one2many
taf4b,TAF4B,ortholog_one2one
sdhc,SDHC,ortholog_one2one
dhrs13b.1,DHRS13,ortholog_one2many
ablim1b,ABLIM1,ortholog_one2many
nr2f6a,NR2F6,ortholog_one2many
psma3,PSMA3,ortholog_one2one
bub3,BUB3,ortholog_one2one
ilkap,ILKAP,ortholog_one2one
neu4,NEU4,ortholog_one2one
nampta,NAMPTP1,ortholog_one2many
kdm1a,KDM1A,ortholog_one2one
slc22a7b.1,SLC22A7,ortholog_one2many
mxc,MX1,ortholog_one2many
foxl1,FOXL1,ortholog_one2one
heatr5b,HEATR5B,ortholog_one2one
sema4gb,SEMA4G,ortholog_one2many
blvra,BLVRA,ortholog_one2one
tkta,TKTL1,ortholog_one2one
cplane2,CPLANE2,ortholog_one2one
casp3b,CASP3,ortholog_one2many
top1,TOP1,ortholog_one2many
usp45,USP45,ortholog_one2one
hsd17b2,HSD17B2,ortholog_one2one
si:ch211-255i20.3,TMED11,ortholog_one2one
itgb4,ITGB4,ortholog_one2many
si:ch211-130m23.3,SSBP2,ortholog_one2many
si:zfos-2330d3.7,,ortholog_one2many
mov10b.1,MOV10,ortholog_one2many
klf12b,KLF12,ortholog_one2one
uck2b,UCK2,ortholog_one2many
dhrs13l1,DHRS13,ortholog_one2many
SLC9B2,,ortholog_one2one
ssu72,SSU72,ortholog_one2one
barhl1a,BARHL1,ortholog_one2many
rfesd,RFESD,ortholog_one2many
cbx4,CBX4,ortholog_one2one
sp1,SP1,ortholog_one2many
b4galnt4a,B4GALNT4,ortholog_one2many
si:dkey-88l16.3,,ortholog_one2one
ndst2a,NDST2,ortholog_one2many
atp8a2,ATP8A2,ortholog_one2one
osgepl1,OSGEPL1,ortholog_one2one
atp1a1a.2,ATP1A1,ortholog_one2many
ncoa3,NCOA3,ortholog_one2one
rhag,RHAG,ortholog_one2one
fech,FECH,ortholog_one2one
urb1,URB1,ortholog_one2one
scarb1,SCARB1,ortholog_one2one
kcnt2,KCNT2,ortholog_one2one
pggt1b,PGGT1B,ortholog_one2one
fstl4,FSTL4,ortholog_one2one
nudt2,NUDT2,ortholog_one2one
prph2b,PRPH2,ortholog_one2many
pnpla7b,PNPLA7,ortholog_one2many
bdh2,BDH2,ortholog_one2one
wnt8b,WNT8B,ortholog_one2one
rhogb,RHOG,ortholog_one2many
cdkn2aip,CDKN2AIP,ortholog_one2one
pan2,PAN2,ortholog_one2one
rimbp2,RIMBP2,ortholog_one2many
gde1,GDE1,ortholog_one2one
foxq1b,FOXQ1,ortholog_one2many
iffo2a,IFFO2,ortholog_one2many
metap2b,METAP2,ortholog_one2one
hmx3b,HMX3,ortholog_one2many
cacng2a,CACNG2,ortholog_one2many
foxf2b,,ortholog_one2one
tnnt3a,TNNT3,ortholog_one2many
mccc2,MCCC2,ortholog_one2one
mcrs1,MCRS1,ortholog_one2one
phex,PHEX,ortholog_one2one
mfap4,,ortholog_one2many
arhgap35a,ARHGAP35,ortholog_one2one
hrasb,HRAS,ortholog_one2many
ckbb,CKB,ortholog_one2many
mphosph6,MPHOSPH6,ortholog_one2one
mier1a,MIER1,ortholog_one2many
si:ch1073-209e23.1,FMN1,ortholog_one2many
zgc:193812,,ortholog_one2one
sfxn4,SFXN4,ortholog_one2one
pex1,PEX1,ortholog_one2one
si:ch73-269m14.2,C5orf15,ortholog_one2one
kctd12b,KCTD12,ortholog_one2one
si:dkey-44g23.5,MCRIP2,ortholog_one2one
xpr1a,XPR1,ortholog_one2one
klhl2,KLHL2,ortholog_one2one
grem1b,GREM1,ortholog_one2many
ppil2,PPIL2,ortholog_one2one
ulk1b,ULK1,ortholog_one2many
cnot1,CNOT1,ortholog_one2one
fbxo28,FBXO28,ortholog_one2one
gabarapl2,GABARAPL2,ortholog_one2one
irf6,IRF6,ortholog_one2one
suox,SUOX,ortholog_one2one
mbpa,MBP,ortholog_one2many
prmt8b,PRMT1,ortholog_one2many
adat3,,ortholog_one2one
pelo,PELO,ortholog_one2one
klf5b,KLF5,ortholog_one2many
man1a1,MAN1A1,ortholog_one2one
rab40c,RAB40C,ortholog_one2one
rnft1,RNFT1,ortholog_one2one
slx4,SLX4,ortholog_one2many
rars2,RARS2,ortholog_one2one
zswim5,ZSWIM5,ortholog_one2one
tmem231,TMEM231,ortholog_one2one
epdr1,EPDR1,ortholog_one2one
tubgcp4,TUBGCP4,ortholog_one2one
fem1c,FEM1C,ortholog_one2one
zbtb8a,ZBTB8A,ortholog_one2many
zbtb8a,ZBTB8AL,ortholog_one2many
wdr82,WDR82,ortholog_one2one
si:dkey-44g23.2,SLX4,ortholog_one2many
cers2b,CERS2,ortholog_one2many
rbm17,RBM17,ortholog_one2one
ephb2b,EPHB2,ortholog_one2many
ifng1,IFNG,ortholog_one2many
cmtm7,CMTM7,ortholog_one2one
homer1b,HOMER1,ortholog_one2one
pcdh7b,PCDH7,ortholog_one2one
olfml2bb,OLFML2B,ortholog_one2many
rnf6,RNF6,ortholog_one2one
mvb12bb,MVB12B,ortholog_one2many
raf1a,RAF1,ortholog_one2many
gale,GALE,ortholog_one2one
FOXL3,FOXL3,ortholog_one2one
wdr53,WDR53,ortholog_one2one
cdk9,CDK9,ortholog_one2one
brpf3b,BRPF3,ortholog_one2many
cplx4a,CPLX4,ortholog_one2many
wwc3,WWC3,ortholog_one2one
zbtb20,ZBTB20,ortholog_one2one
rpl3,RPL3,ortholog_one2one
vps72b,VPS72,ortholog_one2many
pth1r,PTH2R,ortholog_one2one
eif3m,EIF3M,ortholog_one2one
bmp10,BMP10,ortholog_one2many
ndufa9b,NDUFA9,ortholog_one2many
mettl15,METTL15P1,ortholog_one2one
tacr3l,TACR3,ortholog_one2many
pstpip2,PSTPIP2,ortholog_one2one
phf20l1,PHF20L1,ortholog_one2one
arl3a,ARL3,ortholog_one2many
mtch2,MTCH2,ortholog_one2one
lrp12,LRP12,ortholog_one2one
pgap2,PGAP2,ortholog_one2one
anapc2,ANAPC2,ortholog_one2one
nkx2.3,NKX2-3,ortholog_one2many
nkx2.3,NKX2-6,ortholog_one2many
man2a2,MAN2A2,ortholog_one2one
mxe,MX1,ortholog_one2many
efnb1,EFNB1,ortholog_one2one
vdac1,VDAC1,ortholog_one2one
top2b,TOP2B,ortholog_one2one
gadd45aa,GADD45A,ortholog_one2many
braf,BRAF,ortholog_one2one
celsr2,CELSR2,ortholog_one2one
sh2d1ab,SH2D1A,ortholog_one2many
gnb5b,GNB5,ortholog_one2many
C16H1orf43,C1orf43,ortholog_one2many
kmt2e,KMT2E,ortholog_one2one
fibinb,FIBIN,ortholog_one2many
ssrp1b,SSRP1,ortholog_one2many
ptk2aa,PTK2,ortholog_one2many
si:ch211-71m22.1,PLSCR5,ortholog_many2many
trim37,TRIM37,ortholog_one2one
ifng1r,IFNG,ortholog_one2many
fam117aa,FAM117A,ortholog_one2many
rnf212,RNF212,ortholog_one2one
gba,,ortholog_one2many
gspt1,GSPT2,ortholog_one2many
fam155b,FAM155B,ortholog_one2one
ppm1g,PPM1G,ortholog_one2one
aglb,AGL,ortholog_one2many
dnajc5aa,DNAJC5,ortholog_one2many
zbtb8os,ZBTB8OS,ortholog_one2one
srgn,SRGN,ortholog_one2one
kalrna,KALRN,ortholog_one2many
nup155,NUP155,ortholog_one2one
immp1l,IMMP1L,ortholog_one2one
b4galt1,B4GALT1,ortholog_one2one
cth,CTH,ortholog_one2many
eif6,EIF6,ortholog_one2one
ptpreb,PTPRE,ortholog_one2many
adcy7,ADCY7,ortholog_one2one
prkab1a,PRKAB1,ortholog_one2many
dachd,DACH1,ortholog_one2many
CAPN1,CAPN1,ortholog_one2many
ksr1a,KSR1,ortholog_one2many
med21,MED21,ortholog_one2one
glud1b,GLUD2,ortholog_one2many
rnf2,RNF2,ortholog_one2one
bcl7a,BCL7A,ortholog_one2one
gpm6ab,GPM6A,ortholog_one2many
exosc3,EXOSC3,ortholog_one2many
ccdc14,CCDC14,ortholog_one2one
uchl5,UCHL5,ortholog_one2one
lrmda,LRMDA,ortholog_one2one
bcl2l10,BCL2L10,ortholog_one2one
efnb2b,EFNB2,ortholog_one2many
ankrd1b,ANKRD1,ortholog_one2many
desmb,DES,ortholog_one2many
casp10,CASP10,ortholog_one2one
oip5,OIP5,ortholog_one2one
stard3nl,STARD3NL,ortholog_one2one
degs1,DEGS1,ortholog_one2one
ankrd33bb,ANKRD33B,ortholog_one2many
C11H6orf120,C6orf120,ortholog_one2one
cbx8a,CBX8,ortholog_one2many
ccdc85a,CCDC85A,ortholog_one2many
tuft1a,TUFT1,ortholog_one2one
zpax2,ZPAX,ortholog_one2many
si:dkey-30h22.11,MINDY4,ortholog_one2one
hmg20a,HMG20A,ortholog_one2one
tent4b,PAPD5,ortholog_one2one
si:dkey-185e18.7,CENPU,ortholog_one2one
alkbh2,ALKBH2,ortholog_one2one
npm3,NPM3,ortholog_one2one
hao2,HAO2,ortholog_one2one
si:dkey-31e10.5,CD200,ortholog_one2many
iffo1a,IFFO1,ortholog_one2many
arglu1b,ARGLU1,ortholog_one2many
si:dkey-31e10.1,CD200,ortholog_one2many
rhogd,RHOG2,ortholog_one2many
plecb,,ortholog_one2many
bloc1s4,BLOC1S4,ortholog_one2one
synpo2b,SYNPO2,ortholog_one2one
onecut2,ONECUT2,ortholog_one2one
hgfa,HGF,ortholog_one2many
vars2,VARS2,ortholog_one2one
