Gene name,Human gene name,Human homology type
alkbh6,ALKBH6,ortholog_one2one
AL807792.1,,
si:ch211-64i20.3,,
tnnt2b,,
setbp1,SETBP1,ortholog_one2one
BX294113.1,,
golph3,GOLPH3,ortholog_one2one
dusp23a,DUSP23,ortholog_one2many
henmt1,HENMT1,ortholog_one2one
zgc:109986,,
prkag1,PRKAG1,ortholog_one2one
haus5,,
pip4p1a,PIP4P1,ortholog_one2many
tars3,,
BX649639.1,,
ecscr,,
med6,MED6,ortholog_one2one
si:ch211-247j9.1,,
ak9,AK9,ortholog_one2one
gab2,GAB2,ortholog_one2one
CR792416.1,,
C7H19orf12,C19orf12,ortholog_one2many
nav2a,NAV2,ortholog_one2many
CU467880.1,,
si:dkey-18a10.3,,
ube2l3b,UBE2L5,ortholog_many2many
ube2l3b,UBE2L3,ortholog_many2many
si:dkey-13m1.2,,
CU929143.1,,
CR352226.3,,
acvr1bb,ACVR1B,ortholog_one2many
si:ch211-209l18.2,,
si:dkey-189g17.2,,
gpr101,GPR101,ortholog_one2one
chchd10,CHCHD10,ortholog_one2one
yipf3,YIPF3,ortholog_one2one
klf17,KLF14,ortholog_many2many
klf17,KLF17,ortholog_many2many
klf17,KLF18,ortholog_many2many
AL935117.1,,
sinup,,
gfra2b,GFRA2,ortholog_one2many
acp5b,,
arap3,ARAP3,ortholog_one2one
chchd6a,CHCHD6,ortholog_one2many
BX323797.2,,
arl8a,ARL8A,ortholog_one2one
brf1a,,
itgb7,ITGB7,ortholog_one2one
dgkzb,,
rtraf,RTRAF,ortholog_one2one
acmsd,ACMSD,ortholog_one2one
cdkn2a/b,,
adgre10,,
atoh8,ATOH8,ortholog_one2one
pdcd7,PDCD7,ortholog_one2one
qrfpra,QRFPR,ortholog_one2many
mhc1zba,,
pcdh15a,PCDH15,ortholog_one2many
hnrnpa3,,
CU041319.3,,
itga8,ITGA8,ortholog_one2one
cdk5rap2,CDK5RAP2,ortholog_one2one
slc15a4,SLC15A4,ortholog_one2one
dok2,DOK2,ortholog_one2many
cacng7a,CACNG7,ortholog_one2many
si:dkey-27l15.1,,
p2ry8,P2RY8,ortholog_one2one
CABZ01015815.1,,
slc24a5,SLC24A5,ortholog_one2one
fsta,FST,ortholog_one2one
SRBD1,SRBD1,ortholog_one2many
ms4a17a.4,MS4A1,ortholog_many2many
ms4a17a.4,MS4A7,ortholog_many2many
ms4a17a.4,MS4A6E,ortholog_many2many
ms4a17a.4,MS4A6A,ortholog_many2many
ms4a17a.4,MS4A14,ortholog_many2many
ms4a17a.4,MS4A2,ortholog_many2many
ms4a17a.4,MS4A10,ortholog_many2many
ms4a17a.4,MS4A18,ortholog_many2many
ms4a17a.4,MS4A13,ortholog_many2many
ms4a17a.4,MS4A5,ortholog_many2many
ms4a17a.4,MS4A15,ortholog_many2many
abhd14b,ABHD14B,ortholog_one2one
si:ch73-299h12.6,,
slc22a15,SLC22A9,ortholog_many2many
slc22a15,SLC22A25,ortholog_many2many
slc22a15,SLC22A10,ortholog_many2many
slc22a15,SLC22A11,ortholog_many2many
slc22a15,SLC22A24,ortholog_many2many
si:dkey-26g8.5,,
adgrb1b,ADGRB1,ortholog_one2many
BX649490.2,,
tor4ab,TOR4A,ortholog_one2many
ciao2b,CIAO2B,ortholog_one2one
sh3bgrl3,SH3BGRL3,ortholog_one2one
si:rp71-23d18.8,,
BX548078.1,,
si:ch211-214c7.4,PRR36,ortholog_one2one
si:dkey-27b3.4,,
itgb3b,ITGB3,ortholog_one2many
steap4,STEAP4,ortholog_one2one
ccl34b.1,,
plg,PLGLB2,ortholog_one2many
plg,PLG,ortholog_one2many
plg,PLGLB1,ortholog_one2many
rpl5a,RPL5,ortholog_one2many
deptor,DEPTOR,ortholog_one2one
gnb5a,GNB5,ortholog_one2many
nfatc3b,,
si:ch211-59d8.3,,
adamts9,ADAMTS9,ortholog_one2one
si:dkey-222b8.4,KIAA0895,ortholog_one2one
BX294129.1,,
b3gntl1,B3GNTL1,ortholog_one2one
phyhd1,PHYHD1,ortholog_one2one
agtrap,AGTRAP,ortholog_one2one
zzz3,ZZZ3,ortholog_one2one
parp16,PARP16,ortholog_one2one
nlgn4xa,NLGN4Y,ortholog_many2many
nlgn4xa,NLGN4X,ortholog_many2many
zgc:113298,,
CR318646.3,,
si:dkey-79d12.6,,
sparcl2,,
zgc:113984,,
zgc:153911,,
pudp,PUDP,ortholog_one2one
igsf9b,,
mxd4,MXD4,ortholog_one2one
tyw1,TYW1,ortholog_one2many
tyw1,TYW1B,ortholog_one2many
ambp,AMBP,ortholog_one2one
arpp19b,ARPP19,ortholog_one2many
rps28,RPS28,ortholog_one2one
chka,CHKA,ortholog_one2one
rps27.1,,
cdh28,CDH3,ortholog_one2many
tacr3a,TACR3,ortholog_one2many
si:dkey-103j14.5,,
si:zfos-128g4.2,,
mrpl42,,
ctslb,,
BX511259.1,,
adgre15,,
BX957276.1,,
BX294113.2,,
ebag9,EBAG9,ortholog_one2one
f13a1b,F13A1,ortholog_one2many
colec11,COLEC11,ortholog_one2one
si:dkey-256e7.5,SPATA21,ortholog_many2many
si:dkeyp-67e1.2,,
si:dkey-163f12.6,FHAD1,ortholog_one2one
hsd11b1la,HSD11B1L,ortholog_one2many
grm6b,GRM6,ortholog_one2many
CR954294.1,,
thy1,THY1,ortholog_one2many
ctslb,,
arid5b,,
mybl2b,MYBL2,ortholog_one2one
ccsapa,CCSAP,ortholog_one2many
CU633855.1,,
btr06,,
ahcyl1,AHCYL1,ortholog_one2one
mif4gda,MIF4GD,ortholog_one2many
cldna,CLDN4,ortholog_one2many
drd4a,,
atp1a2a,ATP1A2,ortholog_one2one
ccr10,CCR10,ortholog_one2one
arhgap21b,ARHGAP21,ortholog_one2many
apmap,APMAP,ortholog_one2one
CT027631.1,,
CR376737.1,,
si:ch211-256a21.4,,
si:dkey-242h9.5,,
BX510992.2,,
pvrl2l,NCR3,ortholog_many2many
pvrl2l,NECTIN2,ortholog_many2many
pvrl2l,PVR,ortholog_many2many
pvrl2l,TIGIT,ortholog_many2many
hephl1b,HEPH,ortholog_one2one
iffo1b,IFFO1,ortholog_one2many
si:dkey-65b12.6,FCGBP,ortholog_one2one
grb7,GRB7,ortholog_one2one
stx10,,
ext1a,EXT1,ortholog_one2many
sema3aa,,
mbd2,,
nubp1,NUBP1,ortholog_one2one
doc2b,DOC2B,ortholog_one2one
tmc8,TMC8,ortholog_one2one
BX469902.2,,
opn7c,,
rprma,RPRM,ortholog_one2many
ankk1,ANKK1,ortholog_one2one
trmt1l,TRMT1L,ortholog_one2one
,,
hist1h2a11,,
lyplal1,LYPLAL1,ortholog_one2one
rbm48,RBM48,ortholog_one2one
igbp1,IGBP1,ortholog_one2many
igbp1,IGBP1P2,ortholog_one2many
si:dkey-78l4.10,,
gsk3ab,GSK3A,ortholog_one2many
AL954134.1,,
FP325123.1,H3C14,ortholog_one2many
gpr158b,GPR158,ortholog_one2many
pdcd4a,,
BX004812.1,,
dazap1,DAZAP1,ortholog_one2one
trpc4a,TRPC4,ortholog_one2many
zc3h11a,ZC3H11A,ortholog_one2many
zc3h11a,C12orf50,ortholog_one2many
zc3h11a,,ortholog_one2many
zc3h11a,ZC3H11B,ortholog_one2many
si:ch211-255p10.4,,
BX649345.2,,
olfce1,,
nf1b,NF1,ortholog_one2many
dcaf12,DCAF12,ortholog_one2one
si:ch73-94k4.4,,
map4k6,,
znf1021,ZNF22,ortholog_one2many
atp8b4,ATP8B4,ortholog_one2one
rnf169,RNF169,ortholog_one2one
BX323994.2,,
aimp1a,AIMP1,ortholog_one2many
creb3l3l,CREB3,ortholog_one2one
si:dkeyp-97a10.3,,
CR388209.2,,
cd82a,CD82,ortholog_one2many
fbxo15,FBXO15,ortholog_one2many
psmb7,PSMB7,ortholog_one2one
BX005392.2,,
col8a1b,COL8A1,ortholog_one2one
dnmt3ab,DNMT3A,ortholog_one2many
hist1h4l,,
zgc:194989,H2BC1,ortholog_one2many
sla2,SLA2,ortholog_one2many
asic1c,,
CU929339.2,,
matn3a,MATN3,ortholog_one2many
lrrc4ba,LRRC4B,ortholog_one2many
atg3,ATG3,ortholog_one2one
sh3glb1b,SH3GLB1,ortholog_one2many
si:dkeyp-85h7.1,,
si:ch73-379j16.2,,
si:ch211-113d22.2,,
pagr1,PAGR1,ortholog_one2one
eif4h,EIF4H,ortholog_one2one
skia,SKI,ortholog_one2one
zfand5a,,
zgc:112496,,
mdh1b,MDH1B,ortholog_one2one
si:ch73-389b16.2,,
znf507,ZNF507,ortholog_one2one
josd1,JOSD1,ortholog_one2one
zgc:162025,C12orf43,ortholog_one2one
cd81a,CD81,ortholog_one2many
rnf141,RNF141,ortholog_one2one
BX296562.2,,
mydgf,MYDGF,ortholog_one2one
pkp3b,PKP3,ortholog_one2many
tnfaip8l1,TNFAIP8L1,ortholog_one2one
march5,MARCHF5,ortholog_one2one
CR628365.1,,
pcdh20,,
ihhb,DHH,ortholog_many2many
bmi1b,BMI1,ortholog_one2many
ccdc90b,CCDC90B,ortholog_one2one
rpl5b,RPL5,ortholog_one2many
BX649337.1,,
g3bp2,G3BP2,ortholog_one2many
timm23a,TIMM23B,ortholog_many2many
timm23a,TIMM23,ortholog_many2many
nyx,NYX,ortholog_one2one
zgc:153631,,
rpap1,RPAP1,ortholog_one2one
CT573316.3,,
nutf2,NUTF2,ortholog_one2one
ift46,IFT46,ortholog_one2one
nat15,NAA60,ortholog_one2one
si:ch211-227e10.6,,
prune2,,
tap2a,,
si:ch211-162k9.6,,
cebpz,CEBPZ,ortholog_one2many
BX537274.1,,
BX681417.14,,
traj59,,
AL928908.1,,
yars2,YARS2,ortholog_one2one
BX681417.18,,
BX681417.20,,
ndufaf7,NDUFAF7,ortholog_one2one
btk,BTK,ortholog_one2one
itpkca,ITPKC,ortholog_one2many
ddx59,DDX59,ortholog_one2one
ponzr6,,
tmc2b,TMC2,ortholog_one2many
chrna5,CHRNA5,ortholog_one2one
timm17b,TIMM17B,ortholog_one2one
yeats4,YEATS4,ortholog_one2one
tsc22d3,TSC22D3,ortholog_one2many
fmoda,FMOD,ortholog_one2many
gypc,GYPC,ortholog_one2one
zcrb1,ZCRB1,ortholog_one2one
pcdh11,PCDH11Y,ortholog_one2many
pcdh11,PCDH11X,ortholog_one2many
znf1182,,
si:dkey-279j5.1,,
utp4,UTP4,ortholog_one2one
si:ch211-198e20.10,,
ost4,OST4,ortholog_one2one
mfrp,MFRP,ortholog_one2one
arsg,ARSG,ortholog_one2many
si:ch211-163g19.2,,
tbcc,TBCC,ortholog_one2one
BX936305.1,,
dalrd3,DALRD3,ortholog_one2one
adipor1a,ADIPOR1,ortholog_one2many
si:ch73-281i18.7,MAP7,ortholog_one2many
arhgef38,ARHGEF38,ortholog_one2one
ncoa5,NCOA5,ortholog_one2one
hunk,,
hspa12a.2,,
trim35-20,,
si:dkey-263j23.1,,
arhgdig,ARHGDIG,ortholog_one2one
tnni1a,TNNI1,ortholog_one2many
cnot6l,CNOT6L,ortholog_one2one
CR751227.2,,
ddr2b,DDR2,ortholog_one2many
CU856516.1,,
spint1b,LRP11,ortholog_many2many
spint1b,SPINT4,ortholog_many2many
spint1b,WFDC6,ortholog_many2many
spint1b,SPINT1,ortholog_many2many
spint1b,WFDC8,ortholog_many2many
spint1b,EPPIN,ortholog_many2many
cd4-2.2,,
sftpbb,PSAPL1,ortholog_many2many
sftpbb,SFTPB,ortholog_many2many
tbl1xr1a,,
kcnk6,KCNK6,ortholog_one2one
CU595864.1,,
psd2,PSD2,ortholog_one2one
proca,PROC,ortholog_one2many
smarcd1,SMARCD1,ortholog_one2one
si:dkeyp-72g9.4,DEPP1,ortholog_one2many
nts,NTS,ortholog_one2one
pi15a,PI15,ortholog_one2many
BX000985.1,,
ptbp3,PTBP3,ortholog_one2one
AL845550.2,,
prkag3a,PRKAG3,ortholog_one2many
pimr134,,
itgb5,ITGB5,ortholog_one2one
cyp1b1,CYP1B1,ortholog_one2one
si:dkey-23n7.10,,
sgca,SGCA,ortholog_one2one
si:ch73-109d9.1,,
BX681417.2,,
terb1,TERB1,ortholog_one2one
rgs5b,,
znfl1b,,
kctd8,KCTD8,ortholog_one2one
ttpal,TTPAL,ortholog_one2one
aldh16a1,ALDH16A1,ortholog_one2one
BX950855.1,,
CR354547.1,,
BDKRB2,BDKRB2,ortholog_one2one
rtcb,RTCB,ortholog_one2one
ptprfb,PTPRF,ortholog_one2many
AL929057.1,,
fam78aa,FAM78A,ortholog_one2many
stoml1,STOML1,ortholog_one2one
rubcnl,RUBCNL,ortholog_one2one
il15,IL15,ortholog_one2many
nmnat2,NMNAT2,ortholog_one2one
si:dkey-22i16.10,,
,,
kpna2,KPNA2,ortholog_one2one
prkag2b,PRKAG2,ortholog_one2many
fmnl1a,FMNL1,ortholog_one2many
crot,CROT,ortholog_one2one
glsb,GLS,ortholog_one2many
afp4,,
itgbl1,ITGBL1,ortholog_one2one
tnnt2a,TNNT2,ortholog_one2one
lrriq1,,
si:dkey-220k22.1,,
pimr104,,
birc6,BIRC6,ortholog_one2one
si:dkey-177p2.18,,
eppk1,,
fam102bb,FAM102B,ortholog_one2many
cacng8b,CACNG8,ortholog_one2many
si:dkey-208m12.2,BTN2A1,ortholog_many2many
smpd2b,SMPD2,ortholog_one2many
hcfc2,KLHDC9,ortholog_many2many
selenok,SELENOK,ortholog_one2one
kcnc3a,,
FO704741.1,,
nefmb,,
elfn2a,ELFN2,ortholog_one2many
ccn4a,CCN4,ortholog_one2many
ccdc24,CCDC24,ortholog_one2one
ccny,CCNY,ortholog_one2one
ntn2,NTN3,ortholog_one2one
csmd2,CR2,ortholog_one2one
lft2,LEFTY2,ortholog_many2many
lft2,LEFTY1,ortholog_many2many
ugp2b,UGP2,ortholog_one2many
pnocb,PNOC,ortholog_one2many
epd,EPDR1,ortholog_one2many
C5H2orf68,C2orf68,ortholog_one2one
si:ch211-63o20.7,,
mtmr10,MTMR10,ortholog_one2one
myo15ab,MYO15A,ortholog_one2many
dnmt3bb.3,DNMT3L,ortholog_many2many
BX511250.1,,
dmtn,DMTN,ortholog_one2one
FP245462.1,,
thrap3b,,
CU467633.1,,
cul3a,CUL3,ortholog_one2many
diras1b,DIRAS1,ortholog_one2many
calm1a,CALML3,ortholog_one2many
cnep1r1,CNEP1R1,ortholog_one2one
RIN2,RIN2,ortholog_one2many
rrp7a,RRP7A,ortholog_one2one
CR352226.2,,
pimr101,,
tsr2,TSR2,ortholog_one2one
dhcr7,DHCR7,ortholog_one2one
magi2a,,
cyp2k8,,
lamb2l,,
CU571091.1,,
zc3h12a,,
si:ch211-125e6.13,REG3G,ortholog_many2many
si:ch211-125e6.13,REG3A,ortholog_many2many
si:ch211-125e6.13,REG1B,ortholog_many2many
si:ch211-125e6.13,REG1A,ortholog_many2many
ccr11.1,CCR4,ortholog_many2many
ccr11.1,CCR3,ortholog_many2many
ccr11.1,CCR8,ortholog_many2many
ccr11.1,CCR5,ortholog_many2many
ccr11.1,CX3CR1,ortholog_many2many
ccr11.1,CCR1,ortholog_many2many
ccr11.1,CCRL2,ortholog_many2many
ccr11.1,CCR2,ortholog_many2many
mc3r,MC3R,ortholog_one2one
BX649421.1,,
dffb,DFFB,ortholog_one2one
nrp2a,NRP2,ortholog_one2many
pimr71,,
rhd,RHD,ortholog_one2many
rhd,RHCE,ortholog_one2many
oscp1a,LSM10,ortholog_one2many
zgc:172120,,
cdc42l2,,
zgc:175136,,
ints3,INTS3,ortholog_one2one
atp6v1h,ATP6V1H,ortholog_one2one
slc16a12b,SLC16A12,ortholog_one2many
zmp:0000000729,MBL2,ortholog_one2many
sh3kbp1,SH3KBP1,ortholog_one2one
CT027772.1,,
si:ch73-56d11.5,MS4A1,ortholog_many2many
si:ch73-56d11.5,MS4A7,ortholog_many2many
si:ch73-56d11.5,MS4A6E,ortholog_many2many
si:ch73-56d11.5,MS4A6A,ortholog_many2many
si:ch73-56d11.5,MS4A14,ortholog_many2many
si:ch73-56d11.5,MS4A2,ortholog_many2many
si:ch73-56d11.5,MS4A10,ortholog_many2many
si:ch73-56d11.5,MS4A18,ortholog_many2many
si:ch73-56d11.5,MS4A13,ortholog_many2many
si:ch73-56d11.5,MS4A5,ortholog_many2many
si:ch73-56d11.5,MS4A15,ortholog_many2many
kmt2cb,KMT2C,ortholog_one2many
BX548018.1,,
CR392341.3,,
rhbdd2,RHBDD2,ortholog_many2many
slc25a11,SLC25A11,ortholog_one2one
jac6,,
jupa,JUP,ortholog_one2many
uox,,
arl8,ARL5B,ortholog_one2one
syngap1b,SYNGAP1,ortholog_one2many
flt3,,
atp9b,ATP9B,ortholog_one2one
prkg1a,,
mxra5a,MXRA5,ortholog_one2many
cntnap3,CNTNAP3B,ortholog_one2many
cntnap3,CNTNAP3,ortholog_one2many
cntnap3,CNTNAP3C,ortholog_one2many
nrip1b,NRIP1,ortholog_one2many
slc17a7b,SLC17A7,ortholog_one2many
cdca9,,
bbs10,BBS10,ortholog_one2one
casp8ap2,CASP8AP2,ortholog_one2one
CT573239.2,,
psme2,PSME2,ortholog_one2one
brpf3a,BRPF3,ortholog_one2many
trim35-28,,
znfl1h,,
si:dkey-14o18.2,,
olfm1b,,
grin2cb,GRIN2C,ortholog_one2many
smim15,,
sh3d21,SH3D21,ortholog_one2one
nectin1b,NECTIN1,ortholog_one2many
mrpl40,MRPL40,ortholog_one2one
usp43a,USP43,ortholog_one2many
BX666065.1,,
si:ch211-39i2.2,,
plekho1a,,
tmem9b,TMEM9B,ortholog_one2one
si:ch211-166i24.1,TENM1,ortholog_one2one
pros1,PROS1,ortholog_one2one
gnai2b,GNAI2,ortholog_one2many
vipr2,VIPR2,ortholog_one2one
map2k1,MAP2K1,ortholog_one2one
cycsa,,
fmnl2a,FMNL2,ortholog_one2one
ehbp1,EHBP1,ortholog_one2one
cox10,COX10,ortholog_one2one
mcoln1a,MCOLN1,ortholog_one2many
CU467856.1,,
pwp1,PWP1,ortholog_one2one
ugt2a7,UGT3A1,ortholog_many2many
ugt2a7,UGT1A8,ortholog_many2many
ugt2a7,UGT1A7,ortholog_many2many
ugt2a7,UGT1A9,ortholog_many2many
ugt2a7,UGT1A10,ortholog_many2many
ugt2a7,UGT2B11,ortholog_many2many
ugt2a7,UGT2B28,ortholog_many2many
ugt2a7,UGT2B10,ortholog_many2many
ugt2a7,UGT2A3,ortholog_many2many
ugt2a7,UGT2A2,ortholog_many2many
ugt2a7,UGT2A1,ortholog_many2many
ugt2a7,UGT2B15,ortholog_many2many
ugt2a7,UGT2B17,ortholog_many2many
ugt2a7,UGT1A6,ortholog_many2many
ugt2a7,UGT1A5,ortholog_many2many
ugt2a7,UGT1A3,ortholog_many2many
ugt2a7,UGT1A4,ortholog_many2many
ugt2a7,UGT2B7,ortholog_many2many
ugt2a7,UGT2B4,ortholog_many2many
si:ch73-138e16.4,,
CT027623.1,,
meak7,MEAK7,ortholog_one2one
si:ch73-350k19.1,,
gas6,GAS6,ortholog_one2one
slc7a1a,SLC7A1,ortholog_one2many
bco1l,,
BX324224.1,,
mief1,MIEF1,ortholog_one2one
CT574585.2,,
stk17b,STK17B,ortholog_one2one
mrps10,MRPS10,ortholog_one2one
hgd,HGD,ortholog_one2one
grik4,GRIK4,ortholog_one2one
smarca1,SMARCA1,ortholog_one2one
sorbs2b,SORBS2,ortholog_one2many
zgc:172053,REG3G,ortholog_many2many
zgc:172053,REG3A,ortholog_many2many
zgc:172053,REG1B,ortholog_many2many
zgc:172053,REG1A,ortholog_many2many
cmc2,CMC2,ortholog_one2one
ckmt1,,
CR450813.2,,
shoc1,,
dennd6b,DENND6B,ortholog_one2one
vwa2,VWA2,ortholog_one2one
gmppb,GMPPB,ortholog_one2one
gcc1,GCC1,ortholog_one2one
gal3st1b,GAL3ST1,ortholog_one2many
zgc:113363,,
BX957362.4,,
si:dkeyp-73g8.5,,
si:dkeyp-3f10.17,,
tagln3a,TAGLN3,ortholog_one2one
si:zfos-2330d3.7,MFAP4,ortholog_one2many
waslb,,
BX908395.1,,
zgc:198329,,
lyn,TGS1,ortholog_one2one
BX296552.1,,
cnga3b,CNGA3,ortholog_one2many
camk2d1,CAMK2D,ortholog_one2one
serpinb1,SERPINB1,ortholog_one2many
