Gene name,Mouse gene name,Mouse homology type
5S_rRNA,n-R5s115,ortholog_one2many
U6,Gm55922,ortholog_one2many
U6,Gm25609,ortholog_one2many
,,
5S_rRNA,,
5S_rRNA,n-R5s100,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
5S_rRNA,,
5S_rRNA,,
5S_rRNA,n-R5s144,ortholog_one2one
5S_rRNA,Gm25212,ortholog_one2many
5S_rRNA,n-R5s110,ortholog_one2many
5S_rRNA,,
5S_rRNA,n-R5s121,ortholog_one2many
,,
U6,Gm24131,ortholog_one2one
Metazoa_SRP,,
U6,Gm24887,ortholog_one2many
Metazoa_SRP,,
U1,,
,,
U1,Gm24251,ortholog_one2many
Y_RNA,,
Metazoa_SRP,,
U6,,
,,
,,
,,
Metazoa_SRP,,
,,
Y_RNA,,
Metazoa_SRP,,
Metazoa_SRP,,
U6,Gm54826,ortholog_one2one
Metazoa_SRP,,
,,
Metazoa_SRP,,
,,
,,
,,
,Psma3,ortholog_one2many
,,
,,
Metazoa_SRP,,
U6,,
,,
U6,,
,,
GJA8,Gja8,ortholog_one2one
ID3,Id3,ortholog_one2one
,,
,,
Metazoa_SRP,,
,,
CNST,Cnst,ortholog_one2one
CCDC190,Ccdc190,ortholog_one2one
,,
,,
TFB2M,Tfb2m,ortholog_one2one
,,
,,
Y_RNA,,
Y_RNA,,
SMYD3,Smyd3,ortholog_one2one
U6,,
NPR1,Npr1,ortholog_one2one
KIF26B,Kif26b,ortholog_one2one
,,
Metazoa_SRP,,
Metazoa_SRP,,
U1,,
SH2D5,Sh2d5,ortholog_one2one
EFCAB2,Efcab2,ortholog_one2one
Metazoa_SRP,,
U6,,
mml-mir-7180,,
KIAA1143,1110059G10Rik,ortholog_one2one
U6,Gm26176,ortholog_one2one
,,
U6,Gm25045,ortholog_one2many
U6,Gm25578,ortholog_one2many
Metazoa_SRP,,
,,
SERP1,Serp1,ortholog_one2one
HNRNPU,Hnrnpu,ortholog_one2one
,Rnf13,ortholog_one2many
,,
U6,Gm56390,ortholog_one2one
,,
COX20,Cox20,ortholog_one2one
,,
,,
,,
,,
PSEN2,Psen2,ortholog_one2one
DESI2,Desi2,ortholog_one2one
,,
Metazoa_SRP,,
COL8A2,Col8a2,ortholog_one2one
CATSPERE,Catspere1,ortholog_one2many
CATSPERE,Catspere2,ortholog_one2many
COQ8A,Coq8a,ortholog_one2one
ADPRS,Adprs,ortholog_one2one
CIART,Ciart,ortholog_one2one
,,
ADSS2,Adss,ortholog_one2one
TEKT2,Tekt2,ortholog_one2one
DTL,Dtl,ortholog_one2one
C1H1orf100,1700016C15Rik,ortholog_one2one
,,
Metazoa_SRP,,
Metazoa_SRP,,
,,
mml-mir-3122,,
AGO3,Ago3,ortholog_one2one
,,
U6,,
Metazoa_SRP,,
,,
,,
E2F2,E2f2,ortholog_one2one
Metazoa_SRP,,
ILF2,Ilf2,ortholog_one2one
ZBTB18,Zbtb18,ortholog_one2one
,,
PPP2R5A,Ppp2r5a,ortholog_one2one
,,
,,
,,
,,
POU3F1,Pou3f1,ortholog_one2one
,,
SNORA16B,,
Metazoa_SRP,,
ASAP3,Asap3,ortholog_one2one
AGO1,Ago1,ortholog_one2one
PACC1,Pacc1,ortholog_one2one
DDOST,Kif17,ortholog_one2one
NENF,Nenf,ortholog_one2one
AKT3,Akt3,ortholog_one2one
PPP2R3A,Ppp2r3a,ortholog_one2one
SNAPIN,Snapin,ortholog_one2one
SLC6A9,Slc6a9,ortholog_one2one
GPR160,Gpr160,ortholog_one2one
PINK1,Pink1,ortholog_one2one
CHTOP,Chtop,ortholog_one2one
Metazoa_SRP,,
U4,,
TCEA3,Tcea3,ortholog_one2one
S100A1,S100a1,ortholog_one2one
CDA,Cda,ortholog_one2one
EPHB3,Ephb3,ortholog_one2one
CCDC24,Ccdc24,ortholog_one2one
S100A13,S100a13,ortholog_one2one
,Psmg2,ortholog_one2many
Metazoa_SRP,,
AGO4,Ago4,ortholog_one2one
,,
S100A14,S100a14,ortholog_one2one
MSL2,Msl2,ortholog_one2one
Y_RNA,Gm24629,ortholog_one2many
,,
Metazoa_SRP,,
,,
,Bend2,ortholog_many2many
,,
,,
B4GALT2,B4galt2,ortholog_one2one
FAM43B,Fam43b,ortholog_one2one
S100A16,S100a16,ortholog_one2one
Metazoa_SRP,,
CDC42BPA,Cdc42bpa,ortholog_one2one
DNAH1,Dnah1,ortholog_one2one
ZNF436,Zfp46,ortholog_one2one
MAGEF1,,
,,
S100A2,S100a2,ortholog_one2one
MUL1,Mul1,ortholog_one2one
,,
Metazoa_SRP,,
,,
PHC3,Phc3,ortholog_one2one
SDCCAG8,Sdccag8,ortholog_one2one
,,
S100A3,S100a3,ortholog_one2one
,,
GLUL,Glul,ortholog_one2one
CAMK2N1,Camk2n1,ortholog_one2one
S100A4,S100a4,ortholog_one2one
DPH2,Dph2,ortholog_one2one
HNRNPR,Hnrnpr,ortholog_one2one
S100A5,S100a5,ortholog_one2one
,,
S100A6,S100a6,ortholog_one2one
,,
Metazoa_SRP,,
TEDDM1,Teddm1b,ortholog_one2many
TEDDM1,Teddm1a,ortholog_one2many
PCCB,Pccb,ortholog_one2one
U6,,
FCAMR,Fcamr,ortholog_one2one
,,
Metazoa_SRP,,
VWA5B1,Vwa5b1,ortholog_one2one
GJA5,Gja5,ortholog_one2one
CLSPN,Clspn,ortholog_one2one
,,
C1H1orf116,AA986860,ortholog_one2one
Metazoa_SRP,,
,,
HTR1D,,
YOD1,Yod1,ortholog_one2one
Metazoa_SRP,,
,,
RGSL1,Rgsl1,ortholog_one2one
,,
ATF3,Atf3,ortholog_one2one
U6,,
U6,,
CHL1,Chl1,ortholog_one2one
GARIN4,Garin4,ortholog_one2one
USP24,Usp24,ortholog_one2one
,,
LUZP1,Luzp1,ortholog_one2one
GCLM,Gclm,ortholog_one2one
BAP1,Bap1,ortholog_one2one
,,
U6,Gm23390,ortholog_one2one
IPO13,Ipo13,ortholog_one2one
,,
PFKFB2,Pfkfb2,ortholog_one2one
U7,,
UBXN10,Ubxn10,ortholog_one2one
C1H1orf54,BC028528,ortholog_one2one
BATF3,Batf3,ortholog_one2one
S100A8,S100a8,ortholog_one2one
PLA2G2C,Pla2g2c,ortholog_one2one
C1H1orf216,5730409E04Rik,ortholog_one2one
U6,Gm23794,ortholog_one2one
S100A12,,
S100A9,S100a9,ortholog_one2many
S100A9,Gm5849,ortholog_one2many
DNTTIP2,Dnttip2,ortholog_one2one
PLA2G2F,Pla2g2f,ortholog_one2one
RNASEL,Rnasel,ortholog_one2one
PGLYRP4,Pglyrp4,ortholog_one2one
NSL1,Nsl1,ortholog_one2one
PSMB2,Psmb2,ortholog_one2one
,Bend2,ortholog_many2many
U6,Gm26084,ortholog_one2one
PGLYRP3,Pglyrp3,ortholog_one2one
,,
MIR760,,
Metazoa_SRP,,
Metazoa_SRP,,
PLA2G2D,Pla2g2d,ortholog_one2one
Metazoa_SRP,,
C4BPB,,
KDM1A,Kdm1a,ortholog_one2one
MIR4677,,
LORICRIN,,
RGS16,Rgs16,ortholog_one2one
ARTN,Artn,ortholog_one2one
,,
TFAP2E,Tfap2e,ortholog_one2one
TATDN3,Tatdn3,ortholog_one2one
PRR9,Prr9,ortholog_one2one
PLA2G5,Pla2g5,ortholog_one2one
,,
PRKCI,Prkci,ortholog_one2one
,,
,,
PHF7,Phf7,ortholog_one2one
,,
SPATA45,Spata45,ortholog_one2one
C4BPA,Zp3r,ortholog_one2one
RGS8,Rgs8,ortholog_one2one
PLA2G2A,Pla2g2a,ortholog_one2one
,,
Metazoa_SRP,,
NCDN,Ncdn,ortholog_one2one
BCAR3,Bcar3,ortholog_one2one
ZBTB8B,Zbtb8b,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
FLVCR1,Flvcr1,ortholog_one2one
PLA2G2E,Pla2g2e,ortholog_one2one
VPS8,Vps8,ortholog_one2one
SEMA3G,Sema3g,ortholog_one2one
ST3GAL3,St3gal3,ortholog_one2one
,,
,,
CEP170,Cep170,ortholog_one2one
UTP11,Utp11,ortholog_one2one
,,
OTUD3,Otud3,ortholog_one2one
,,
,,
SPRR3,Sprr3,ortholog_one2one
,,
VASH2,Vash2,ortholog_one2one
TNNC1,Tnnc1,ortholog_one2one
Metazoa_SRP,,
FNBP1L,Fnbp1l,ortholog_one2one
BSDC1,Bsdc1,ortholog_one2one
,,
RNF186,Rnf186,ortholog_one2one
NPL,Npl,ortholog_one2one
HIVEP3,Hivep3,ortholog_one2one
IVL,,
CD55,Cd55b,ortholog_one2many
CD55,Cd55,ortholog_one2many
SMCP,,
KIAA0319L,AU040320,ortholog_one2one
ANGEL2,Angel2,ortholog_one2one
TMCO4,Tmco4,ortholog_one2one
EDN2,Edn2,ortholog_one2one
U6,,
,,
STAG1,Stag1,ortholog_one2one
,,
FOXO6,Foxo6,ortholog_one2one
,,
,,
Y_RNA,,
Metazoa_SRP,,
,,
,,
Y_RNA,,
,,
TEX46,Tex46,ortholog_one2one
,,
Metazoa_SRP,,
,,
,,
Metazoa_SRP,,
HTR6,Htr6,ortholog_one2one
Metazoa_SRP,,
Y_RNA,,
NISCH,Nisch,ortholog_one2one
,,
LACTBL1,Lactbl1,ortholog_one2one
KDM4A,Kdm4a,ortholog_one2one
Metazoa_SRP,,
KPRP,Kprp,ortholog_one2one
SKIL,Skil,ortholog_one2one
Metazoa_SRP,,
DHX9,Dhx9,ortholog_one2one
SCMH1,Scmh1,ortholog_one2one
C1H1orf68,,
CR2,Cr2,ortholog_one2one
NBL1,Nbl1,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
CCDC18,Ccdc18,ortholog_one2one
,,
,,
GTPBP8,Gtpbp8,ortholog_one2one
PLD5,Pld5,ortholog_one2one
CNTN6,Cntn6,ortholog_one2one
,,
CLDN11,Cldn11,ortholog_one2one
MRPS25,Mrps25,ortholog_one2one
TMIGD3,Tmigd3,ortholog_one2one
,,
EPHB2,Ephb2,ortholog_one2one
SLFNL1,Slfnl1,ortholog_one2one
,,
RPS6KC1,Rps6kc1,ortholog_one2one
,,
TSSK3,Tssk3,ortholog_one2one
CR1,Cr1l,ortholog_one2one
NEPRO,Nepro,ortholog_one2one
,Ndufb8,ortholog_one2many
,,
SLC7A14,Slc7a14,ortholog_one2one
U6,,
FAM229A,Fam229a,ortholog_one2one
U6,Gm24388,ortholog_one2one
CRCT1,,
RBSN,Rbsn,ortholog_one2one
LCE5A,Lce1g,ortholog_one2many
LCE5A,Lce1e,ortholog_one2many
,,
C1H1orf162,I830077J02Rik,ortholog_one2one
CTPS1,Ctps,ortholog_one2one
,,
SHCBP1L,Shcbp1l,ortholog_one2one
,,
,,
BECN2,Becn2,ortholog_one2one
MARCKSL1,Marcksl1,ortholog_one2one
,,
,,
CRNN,Crnn,ortholog_one2one
CR1L,,
Metazoa_SRP,,
,,
,,
ATP5PB,Atp5pb,ortholog_one2many
TMED5,Tmed5,ortholog_one2one
,,
RUSC1,Rusc1,ortholog_one2one
Y_RNA,,
HDAC1,Hdac1,ortholog_one2one
FLG2,Flg2,ortholog_one2one
,Abhd4,ortholog_one2many
,,
EXO1,Exo1,ortholog_one2one
RPL22L1,Rpl22l1,ortholog_one2one
,,
,,
Metazoa_SRP,,
LAMC1,Lamc1,ortholog_one2one
U4,,
C1QB,C1qb,ortholog_one2one
Metazoa_SRP,,
,,
EIF5A2,Eif5a2,ortholog_one2one
,,
TRH,Trh,ortholog_one2one
U1,,
,,
APH1A,Aph1a,ortholog_one2one
C1QC,C1qc,ortholog_one2one
MTF2,Mtf2,ortholog_one2one
,,
,,
LCK,Lck,ortholog_one2one
CITED4,Cited4,ortholog_one2one
SLC2A2,Slc2a2,ortholog_one2one
CAPZB,Capzb,ortholog_one2one
ACP6,Acp6,ortholog_one2one
WDR64,Wdr64,ortholog_one2one
,,
CD46,Cd46,ortholog_one2one
KCNQ4,Kcnq4,ortholog_one2one
OVGP1,Ovgp1,ortholog_one2one
CNTN4,Cntn4,ortholog_one2one
mml-mir-6127,,
TMCC1,Tmcc1,ortholog_one2one
BCL9,Bcl9,ortholog_one2one
,,
,,
,,
PCSK9,Pcsk9,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
U6,,
Y_RNA,,
Y_RNA,,
EPHA8,Epha8,ortholog_one2one
,,
LAMC2,Lamc2,ortholog_one2one
ZMYM4,Zmym4,ortholog_one2one
STAB1,Stab1,ortholog_one2one
Y_RNA,,
FMO5,Fmo5,ortholog_one2one
FHL3,Fhl3,ortholog_one2one
,,
U6,Gm25792,ortholog_many2many
U6,Gm24164,ortholog_many2many
IL5RA,Il5ra,ortholog_one2one
SLC66A1,Slc66a1,ortholog_one2one
KIF15,Kif15,ortholog_one2one
NFYC,Nfyc,ortholog_one2one
U6,,
OPN3,Opn3,ortholog_one2one
,Trappc2l,ortholog_one2many
FAM167B,Fam167b,ortholog_one2one
U6,,
Y_RNA,,
Metazoa_SRP,,
U6,Gm23242,ortholog_one2one
TRNT1,Trnt1,ortholog_one2one
,,
EIF3I,Eif3i,ortholog_one2one
Metazoa_SRP,,
PLXND1,Plxnd1,ortholog_one2one
KMO,Kmo,ortholog_one2one
Y_RNA,,
Metazoa_SRP,,
LDLRAP1,Ldlrap1,ortholog_one2one
SLC35G2,Slc35g2,ortholog_one2one
,,
ZBTB40,Zbtb40,ortholog_one2one
,,
TMEM234,Tmem234,ortholog_one2one
DIPK1A,Dipk1a,ortholog_one2one
BSND,Bsnd,ortholog_one2one
,,
EIF2A,Eif2a,ortholog_one2one
PIFO,Pifo,ortholog_one2one
MIR29C,Mir29c,ortholog_one2one
SF3A3,Sf3a3,ortholog_one2one
CRBN,Crbn,ortholog_one2one
mml-mir-29b-2,Mir29b-2,ortholog_one2one
PROX1,Prox1,ortholog_one2one
,,
,,
TMEM61,Tmem61,ortholog_one2one
CHD1L,Chd1l,ortholog_one2one
,,
CHIA,Chil6,ortholog_one2many
CHIA,Chil4,ortholog_one2many
CHIA,Chil3,ortholog_one2many
CHIA,Chil5,ortholog_one2many
CHIA,Chia1,ortholog_one2many
FH,Fh1,ortholog_one2one
AKR7A2,,
Metazoa_SRP,,
NCK1,Nck1,ortholog_one2one
RPL5,,
mml-mir-30c-1,Mir30c-1,ortholog_one2one
,,
IQCC,Iqcc,ortholog_one2one
NMNAT2,Nmnat2,ortholog_one2one
,,
CD34,Cd34,ortholog_one2one
mml-mir-30e,,
SNORA66,Gm22270,ortholog_one2many
SNORA66,Gm54912,ortholog_one2many
SNORA66,Gm25877,ortholog_one2many
SNORA66,Gm26387,ortholog_one2many
SNORA66,Gm22480,ortholog_one2many
DHCR24,Dhcr24,ortholog_one2one
SNORD21,Snord21,ortholog_one2one
,,
U6,,
MACO1,Maco1,ortholog_one2one
SMYD2,Smyd2,ortholog_one2one
Metazoa_SRP,,
IL20RB,Il20rb,ortholog_one2one
RIMS3,Rims3,ortholog_one2one
LRRN1,Lrrn1,ortholog_one2one
Metazoa_SRP,,
C2H3orf70,2510009E07Rik,ortholog_one2one
,Bend2,ortholog_many2many
,Bccip,ortholog_one2many
,,
CHI3L2,,
LEXM,Lexm,ortholog_one2one
,,
H1-8,H1f8,ortholog_one2one
PRKAB2,Prkab2,ortholog_one2one
,,
,,
Metazoa_SRP,,
,,
Metazoa_SRP,,
,,
,,
PTPN14,Ptpn14,ortholog_one2one
PTPRF,Ptprf,ortholog_one2one
RHO,Rho,ortholog_one2one
EHHADH,Ehhadh,ortholog_one2one
U6,Gm26228,ortholog_one2one
,,
,,
TMEM42,,
RGS7,Rgs7,ortholog_one2one
U1,Gm24251,ortholog_one2many
WNT4,Wnt4,ortholog_one2one
SETMAR,,
DCDC2B,Dcdc2b,ortholog_one2one
AKR7A3,,
,,
,,
EVI5,Evi5,ortholog_one2one
,,
,Bend2,ortholog_many2many
U1,,
INPP5B,Inpp5b,ortholog_one2one
RHCE,Rhd,ortholog_one2one
,,
U1,,
PLXNA2,Plxna2,ortholog_one2one
ZNF684,,
MRTO4,Mrto4,ortholog_one2many
TGM4,Tgm4,ortholog_one2one
Metazoa_SRP,,
CCDC28B,Ccdc28b,ortholog_one2one
,,
,,
FDPS,Fdps,ortholog_one2many
TNIK,Tnik,ortholog_one2one
CENPF,Cenpf,ortholog_one2one
Metazoa_SRP,,
EXO5,Exo5,ortholog_one2one
DENND2D,Dennd2d,ortholog_one2one
Metazoa_SRP,,
SUMF1,Sumf1,ortholog_one2one
CLDN18,Cldn18,ortholog_one2one
,Gm54643,ortholog_one2one
CDC42,Cdc42,ortholog_one2one
5S_rRNA,,
MAP3K13,Map3k13,ortholog_one2one
ZFP69B,,
CASR,Casr,ortholog_one2one
GREM2,Grem2,ortholog_one2one
TMEM50A,Tmem50a,ortholog_one2one
TXLNA,Txlna,ortholog_one2one
TTC22,Ttc22,ortholog_one2one
,,
,,
U6,,
,Ube2c,ortholog_one2many
Metazoa_SRP,,
MTF1,Mtf1,ortholog_one2one
Metazoa_SRP,,
,,
,,
,,
,,
EMC1,Emc1,ortholog_one2one
,,
,,
ZDHHC3,Zdhhc3,ortholog_one2one
DZIP1L,Dzip1l,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
,,
,,
FMN2,Fmn2,ortholog_one2one
,,
PARS2,Pars2,ortholog_one2one
,,
C1H1orf122,1110065P20Rik,ortholog_one2one
SMAP2,Smap2,ortholog_one2one
,,
CELA3B,Cela3a,ortholog_one2many
CELA3B,Cela3b,ortholog_one2many
SFPQ,Sfpq,ortholog_one2one
SMG7,Smg7,ortholog_one2one
YRDC,Yrdc,ortholog_one2one
RSRP1,Rsrp1,ortholog_one2one
KCNK2,Kcnk2,ortholog_one2one
U6,,
,,
Metazoa_SRP,,
U4,Gm24141,ortholog_many2many
U4,Gm26478,ortholog_many2many
MANEAL,Maneal,ortholog_one2one
RGS4,Rgs4,ortholog_one2one
SYF2,Syf2,ortholog_one2one
CA14,Car14,ortholog_one2one
Metazoa_SRP,,
U5,,
,,
SNAP47,Snap47,ortholog_one2one
,,
TTC4,Ttc4,ortholog_one2one
KPNA6,Kpna6,ortholog_one2one
Metazoa_SRP,,
,,
,,
Y_RNA,,
,,
CEPT1,Cept1,ortholog_one2one
U1,,
mml-mir-205,Mir205,ortholog_one2one
,Atp5g3,ortholog_one2many
IFT122,Ift122,ortholog_one2one
,,
Metazoa_SRP,,
Metazoa_SRP,,
KCTD3,Kctd3,ortholog_one2many
U1,,
EPHA10,Epha10,ortholog_one2one
Metazoa_SRP,,
COL9A2,Col9a2,ortholog_one2one
Metazoa_SRP,,
Y_RNA,Gm56480,ortholog_one2many
DBR1,Dbr1,ortholog_one2one
GFI1,Gfi1,ortholog_one2one
Metazoa_SRP,Gm22701,ortholog_one2many
MRPL3,Mrpl3,ortholog_one2one
Metazoa_SRP,,
JMJD4,Jmjd4,ortholog_one2one
TMEM41A,Liph,ortholog_one2one
EXOSC7,Exosc7,ortholog_one2one
,,
CHRM3,Chrm3,ortholog_one2one
TXNIP,Txnip,ortholog_one2one
CAMK1G,Camk1g,ortholog_one2one
SNORA58,Gm54509,ortholog_one2many
,,
ZMYM1,Zmym1,ortholog_one2one
PRSS38,Prss38,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
,,
,,
MROH7,Mroh7,ortholog_one2one
Metazoa_SRP,,
CDCA8,Cdca8,ortholog_one2one
PHGDH,Phgdh,ortholog_one2one
CLEC3B,Clec3b,ortholog_one2one
CPNE4,Cpne4,ortholog_one2one
U2,Gm25560,ortholog_one2one
WNT9A,Wnt9a,ortholog_one2one
HJV,Hjv,ortholog_one2one
RUNX3,Runx3,ortholog_one2one
SELENOT,Selenot,ortholog_one2one
Metazoa_SRP,,
LYPLAL1,Lyplal1,ortholog_one2one
Metazoa_SRP,,
,,
SENP2,Semp2l2b,ortholog_one2many
SENP2,Semp2l2a,ortholog_one2many
SENP2,Semp2l1,ortholog_one2many
SENP2,Senp2,ortholog_one2many
,,
Metazoa_SRP,,
Metazoa_SRP,,
USH2A,Ush2a,ortholog_one2one
RGS5,Rgs5,ortholog_one2one
,,
WNT3A,Wnt3a,ortholog_one2one
,,
ANP32E,Anp32e,ortholog_one2one
C1H1orf109,9930104L06Rik,ortholog_one2one
POLR3GL,,
CDCP1,Cdcp1,ortholog_one2one
,Krt18,ortholog_one2many
,,
CLIC4,Clic4,ortholog_one2one
TMEM39B,Tmem39b,ortholog_one2one
,,
LAMB3,Lamb3,ortholog_one2one
,,
NT5DC2,Nt5dc2,ortholog_one2one
ERICH6,Erich6,ortholog_one2one
ARF1,Arf1,ortholog_one2one
,Psmc6,ortholog_one2many
,,
FXR1,Fxr1,ortholog_one2one
VPS13D,Vps13d,ortholog_one2one
LRIF1,Lrif1,ortholog_one2one
ACOT11,Acot11,ortholog_one2one
U6,Gm24185,ortholog_one2one
,,
ZNF697,Zfp697,ortholog_one2one
NUF2,Nuf2,ortholog_one2one
IGF2BP2,Igf2bp2,ortholog_one2one
,,
RPAP2,Rpap2,ortholog_one2one
RSPO1,Rspo1,ortholog_one2one
ZMYM6,Zmym6,ortholog_one2one
,,
SLC30A10,Slc30a10,ortholog_one2one
,,
Metazoa_SRP,,
TMEM158,Tmem158,ortholog_one2one
,,
Metazoa_SRP,,
Metazoa_SRP,Gm22701,ortholog_one2many
,,
,,
U3,,
HSD3B1,Hsd3b6,ortholog_many2many
HSD3B1,Hsd3b3,ortholog_many2many
HSD3B1,Hsd3b2,ortholog_many2many
HSD3B1,Hsd3b4,ortholog_many2many
HSD3B1,Hsd3b5,ortholog_many2many
HSD3B1,Hsd3b8,ortholog_many2many
HSD3B1,Hsd3b9,ortholog_many2many
HSD3B1,Hsd3b1,ortholog_many2many
ACP3,Acpp,ortholog_one2one
U3,,
UQCC5,Uqcc5,ortholog_one2one
C1H1orf35,,
ZMPSTE24,Zmpste24,ortholog_one2one
,,
,Bend2,ortholog_many2many
ZP4,,
ARMC8,Armc8,ortholog_one2one
,,
,Wsb2,ortholog_one2many
,,
KHDRBS1,Khdrbs1,ortholog_one2one
SNORD116,,
Metazoa_SRP,,
HSD3B2,Hsd3b6,ortholog_many2many
HSD3B2,Hsd3b3,ortholog_many2many
HSD3B2,Hsd3b2,ortholog_many2many
HSD3B2,Hsd3b4,ortholog_many2many
HSD3B2,Hsd3b5,ortholog_many2many
HSD3B2,Hsd3b8,ortholog_many2many
HSD3B2,Hsd3b9,ortholog_many2many
HSD3B2,Hsd3b1,ortholog_many2many
SIAH2,Siah2,ortholog_one2one
,,
TRA2B,Tra2b,ortholog_one2one
PLEKHO1,Plekho1,ortholog_one2one
,H3f3a,ortholog_one2one
,,
Metazoa_SRP,,
,,
GNL2,Gnl2,ortholog_one2one
ANKRD34A,Ankrd34a,ortholog_one2one
FAM151A,Fam151a,ortholog_one2one
PBRM1,Pbrm1,ortholog_one2one
,,
U5,Gm22365,ortholog_many2many
U5,Gm23793,ortholog_many2many
U5,Gm23102,ortholog_many2many
SRRM1,Srrm1,ortholog_one2one
TMCO2,Tmco2,ortholog_one2one
NCF2,Ncf2,ortholog_one2one
,,
,,
LIX1L,Lix1l,ortholog_one2one
LARS2,Lars2,ortholog_one2one
HAO2,Hao2,ortholog_one2one
,,
MINDY4B,Mindy4b-ps,ortholog_one2one
,,
TMEM35B,Tmem35b,ortholog_one2one
RLF,Rlf,ortholog_one2one
GLMN,Glmn,ortholog_one2one
RBM8A,Rbm8a2,ortholog_one2many
RBM8A,Rbm8a,ortholog_one2many
GUK1,Guk1,ortholog_one2one
ESRRG,Esrrg,ortholog_one2one
Metazoa_SRP,,
Y_RNA,,
VPS45,Vps45,ortholog_one2one
U6,,
CLRN1,Clrn1,ortholog_one2one
ETV5,Etv5,ortholog_one2one
Metazoa_SRP,,
Metazoa_SRP,,
U1,Gm55070,ortholog_one2one
GNRHR2,,
,,
,,
RYR2,Ryr2,ortholog_one2one
DLGAP3,Dlgap3,ortholog_one2one
U6,,
,,
,Arpc5,ortholog_one2one
,,
GJC2,Gjc2,ortholog_one2one
,,
,,
,,
Metazoa_SRP,,
PTP4A2,Ptp4a2,ortholog_one2one
G0S2,G0s2,ortholog_one2one
PPT1,Ppt1,ortholog_one2one
NCMAP,Ncmap,ortholog_one2one
,Iba57,ortholog_one2one
,,
,,
PEX11B,Pex11b,ortholog_one2one
,,
GNL3,Gnl3,ortholog_one2one
PBX1,Pbx1,ortholog_one2one
Metazoa_SRP,,
,,
,,
,,
DNAJC13,Dnajc13,ortholog_one2one
MED12L,Med12l,ortholog_one2one
,,
HSD11B1,Hsd11b1,ortholog_one2one
DNALI1,Dnali1,ortholog_one2one
,,
CD53,Cd53,ortholog_one2one
,,
,,
OTUD7B,Otud7b,ortholog_one2one
LIMD1,Limd1,ortholog_one2one
SNIP1,Snip1,ortholog_one2one
,,
LSAMP,Lsamp,ortholog_one2one
,,
ITGA10,Itga10,ortholog_one2one
SNORD19,Snord19,ortholog_one2one
MBD4,Mbd4,ortholog_one2one
GPATCH2,Gpatch2,ortholog_one2one
SNORD19B,Gm24916,ortholog_one2one
BTBD8,Btbd8,ortholog_one2one
RCAN3,Rcan3,ortholog_one2one
DGKG,Dgkg,ortholog_one2one
SNORD69,Snord69,ortholog_one2one
