Gene name,Zebrafish gene name,Zebrafish homology type
IQCD,iqcd,ortholog_one2one
VARS2,vars2,ortholog_one2one
ABHD16A,abhd16a,ortholog_one2one
SLC35E4,slc35e4,ortholog_one2one
UQCR10,uqcr10,ortholog_one2one
,dennd4b,ortholog_one2one
ZMAT5,zmat5,ortholog_one2one
CABP7,cabp7b,ortholog_one2many
CABP7,CABP7,ortholog_one2many
AP1B1,ap1b1,ortholog_one2one
,gas2l1,ortholog_one2one
,si:ch211-261d7.6,ortholog_one2one
NAA10,naa10,ortholog_one2one
EWSR1,ewsr1b,ortholog_one2many
EWSR1,ewsr1a,ortholog_one2many
,chd8,ortholog_one2one
,ndufb11,ortholog_one2one
,ddr1,ortholog_one2one
,erfl3,ortholog_one2many
,erf,ortholog_one2many
HSD17B10,hsd17b10,ortholog_one2one
ASCC2,ascc2,ortholog_one2one
,snrpa,ortholog_one2one
,supt16h,ortholog_one2one
DTX1,DTX1,ortholog_one2one
,zgc:55733,ortholog_one2many
,hnrnpc,ortholog_one2many
PFKFB1,si:dkey-96f10.1,ortholog_one2many
PFKFB1,pfkfb1,ortholog_one2many
,CR388231.1,ortholog_one2many
,CR388231.2,ortholog_one2many
,CR388231.3,ortholog_one2many
RASAL1,si:dkeyp-72a4.1,ortholog_one2one
NSMCE3,ndnl2,ortholog_one2one
WSB2,wsb2,ortholog_one2one
RFC5,rfc5,ortholog_one2one
ITIH6,itih6,ortholog_one2one
GNL3L,gnl3l,ortholog_one2one
AIFM3,aifm3,ortholog_one2one
,huwe1,ortholog_one2one
,zgc:112294,ortholog_one2one
TP53,tp53,ortholog_one2one
,smpd5,ortholog_one2one
,lrrc74b,ortholog_one2one
SLC7A4,slc7a4,ortholog_one2one
DGCR6,dgcr6,ortholog_one2one
TBX3,tbx3a,ortholog_one2one
RBM19,rbm19,ortholog_one2one
SDSL,sdsl,ortholog_one2one
,si:ch211-196f2.3,ortholog_one2one
PLBD2,PLBD2,ortholog_one2one
,cxxc1b,ortholog_one2one
SLC8B1,slc8b1,ortholog_one2one
ACHE,ache,ortholog_one2one
CATSPER4,tpcn1,ortholog_one2one
FBXO21,fbxo21,ortholog_one2one
RNASEK,rnasekb,ortholog_one2many
RNASEK,rnaseka,ortholog_one2many
TESC,tesca,ortholog_one2many
TESC,tescb,ortholog_one2many
FBXW8,fbxw8,ortholog_one2one
,wrap53,ortholog_one2one
RNFT2,rnft2,ortholog_one2one
C12orf49,SPRING1,ortholog_one2one
,nrxn2a,ortholog_one2many
,nrxn2b,ortholog_one2many
,CU929402.1,ortholog_one2one
,frmd8,ortholog_one2one
TRPT1,trpt1,ortholog_one2one
FERMT3,fermt3a,ortholog_one2many
FERMT3,fermt3b,ortholog_one2many
POLD1,pold1,ortholog_one2one
STIP1,stip1,ortholog_one2one
FLRT1,flrt1b,ortholog_one2one
OTUB1,otub1b,ortholog_one2many
OTUB1,otub1a,ortholog_one2many
NAA40,naa40,ortholog_one2many
SIPA1,SIPA1,ortholog_one2one
,aspdh,ortholog_one2one
NOS1,nos1,ortholog_one2one
,ccdc87,ortholog_one2one
,znrd2,ortholog_one2one
,syt3,ortholog_one2one
CCS,ccs,ortholog_one2many
RBM14,rbm14a,ortholog_one2many
RBM14,rbm14b,ortholog_one2many
SPTBN2,sptbn2,ortholog_one2one
DNAH5,dnah5,ortholog_one2one
CCT5,cct5,ortholog_one2one
ATPSCKMT,atpsckmt,ortholog_one2one
,dnajc14,ortholog_one2many
MYO10,myo10,ortholog_one2many
ZNF622,znf622,ortholog_one2one
MARCHF11,march11,ortholog_one2one
UBE2QL1,ube2ql1,ortholog_one2one
C7orf57,si:dkey-276j7.1,ortholog_one2one
,lin37,ortholog_one2one
KAT8,kat8,ortholog_one2one
PSENEN,psenen,ortholog_one2one
UPP1,upp1,ortholog_one2one
,znf668,ortholog_one2one
,lipeb,ortholog_one2many
,lipea,ortholog_one2many
ABCA13,abca5,ortholog_many2many
VWC2,vwc2,ortholog_one2one
,mapk7,ortholog_one2one
,tomm40l,ortholog_many2many
,tomm40,ortholog_many2many
,si:dkey-14k9.3,ortholog_one2one
SCN1B,si:ch211-225p5.8,ortholog_one2many
SCN1B,scn1ba,ortholog_one2many
SCN1B,scn1bb,ortholog_one2many
VKORC1,vkorc1,ortholog_one2one
SPMIP7,SPMIP7,ortholog_one2one
PAPD7,tent4a,ortholog_one2one
BCKDK,bckdk,ortholog_one2one
,myh7l,ortholog_one2one
SRD5A1,srd5a1,ortholog_one2one
NSUN2,nsun2,ortholog_one2one
,taco1,ortholog_one2many
GRB10,grb10a,ortholog_one2many
GRB10,grb10b,ortholog_one2many
COBL,cobl,ortholog_one2one
,slc5a2,ortholog_one2one
IKZF1,ikzf1,ortholog_one2one
FIGNL1,fignl1,ortholog_one2one
DDC,ddc,ortholog_one2one
SPRY2,spry2,ortholog_one2one
FBXL7,fbxl7,ortholog_one2one
PCDH20,pcdh20,ortholog_one2one
NDFIP2,ndfip2,ortholog_one2one
EEF1G,eef1g,ortholog_one2one
RBM26,rbm26,ortholog_one2one
ANKH,ankhb,ortholog_one2many
ANKH,ankha,ortholog_one2many
OBI1,CABZ01046895.1,ortholog_one2one
POU4F1,pou4f1,ortholog_one2one
OTULIN,otulinb,ortholog_one2many
OTULIN,otulina,ortholog_one2many
EDNRB,ednrbb,ortholog_one2many
EDNRB,ednrba,ortholog_one2many
INTS5,ints5,ortholog_one2one
SLAIN1,slain1b,ortholog_one2many
SLAIN1,slain1a,ortholog_one2many
TRIO,triob,ortholog_one2many
TRIO,trioa,ortholog_one2many
CDH10,cdh10a,ortholog_one2many
CDH10,LO017650.1,ortholog_one2many
CDH12,cdh12a,ortholog_one2one
MYCBP2,mycbp2,ortholog_one2one
,BX323559.2,ortholog_one2one
DAP,dap,ortholog_one2one
FBXL3,fbxl3a,ortholog_one2one
CLN5,cln5,ortholog_one2one
ANKRD33B,ankrd33bb,ortholog_one2many
ANKRD33B,ankrd33ba,ortholog_one2many
SNRNP48,snrnp48,ortholog_one2one
GATD3AL1,zgc:162944,ortholog_one2one
ROPN1L,ropn1l,ortholog_one2one
MARCH6,march6,ortholog_one2one
ACOD1,acod1,ortholog_one2one
,cmbl,ortholog_one2many
,kctd12.1,ortholog_many2many
,kctd12.2,ortholog_many2many
,ctnnd2b,ortholog_many2many
,ctnnd2a,ortholog_many2many
LMO7,lmo7a,ortholog_one2many
LMO7,lmo7b,ortholog_one2many
SEMA5A,sema5a,ortholog_one2one
MTRR,mtrr,ortholog_one2one
FASTKD3,fastkd3,ortholog_one2one
C5orf49,CFAP90,ortholog_one2one
ADCY2,adcy2b,ortholog_one2many
ADCY2,adcy2a,ortholog_one2many
UCHL3,uchl3,ortholog_one2one
,commd6,ortholog_one2one
CDH18,CDH18,ortholog_one2many
CDH18,cdh18a,ortholog_one2many
,fbl,ortholog_one2one
TBC1D4,tbc1d4,ortholog_one2one
,cox6b1,ortholog_one2one
KLF12,klf12b,ortholog_one2one
KLF5,klf5b,ortholog_one2many
KLF5,pibf1,ortholog_one2many
,si:dkey-65b12.6,ortholog_one2many
PIBF1,pibf1,ortholog_one2one
DIS3,dis3,ortholog_one2one
,si:ch211-14k19.8,ortholog_one2one
BORA,bora,ortholog_one2one
MZT1,MZT1,ortholog_one2one
DACH1,dachd,ortholog_one2many
DACH1,dachc,ortholog_one2many
PCDH9,pcdh11,ortholog_one2many
PCDH9,pcdh9,ortholog_one2many
SLC33A1,slc33a1,ortholog_one2one
C3orf33,C18H3orf33,ortholog_one2one
P2RY1,p2ry1,ortholog_one2one
MBNL1,mbnl1,ortholog_one2one
IGSF10,igsf10,ortholog_one2one
PFN2,pfn2,ortholog_one2many
PFN2,pfn2l,ortholog_one2many
RNF13,rnf13,ortholog_one2one
P2RY13,p2ry13,ortholog_one2one
P2RY12,p2ry12,ortholog_one2one
COMMD2,commd2,ortholog_one2one
WWTR1,wwtr1,ortholog_one2one
P2RY14,P2RY14,ortholog_one2one
CP,cp,ortholog_one2one
GPR171,gpr171,ortholog_one2one
CLRN1,clrn1,ortholog_one2one
MINDY4B,mindy4b,ortholog_one2one
SIAH2,siah2l,ortholog_one2one
TM4SF4,tm4sf4,ortholog_one2one
,AL935199.1,ortholog_one2one
HPS3,hps3,ortholog_one2one
SELENOT,selenot1b,ortholog_one2many
SELENOT,selenot1a,ortholog_one2many
EIF2A,eif2a,ortholog_one2one
,tuba7l,ortholog_one2one
GYG1,gyg1b,ortholog_one2many
GYG1,gyg1a,ortholog_one2many
SERP1,SERP1,ortholog_one2one
OTOL1,otol1b,ortholog_one2many
OTOL1,otol1a,ortholog_one2many
SPTSSB,sptssb,ortholog_one2one
NMD3,nmd3,ortholog_one2one
MTAP,mtap,ortholog_one2one
PPM1L,ppm1la,ortholog_one2one
TRIM36,trim36,ortholog_one2one
FAM69C,dipk1c,ortholog_one2one
PGGT1B,pggt1b,ortholog_one2one
CIDEA,cidea,ortholog_one2one
FEM1C,fem1c,ortholog_one2one
TSHZ1,tshz1,ortholog_one2one
CYB5A,cyb5a,ortholog_one2one
ALDH7A1,aldh7a1,ortholog_one2one
TIMM21,TIMM21,ortholog_one2one
FRMPD1,frmpd1a,ortholog_one2many
FRMPD1,frmpd1b,ortholog_one2many
RTTN,rttn,ortholog_one2one
TRMT10B,trmt10b,ortholog_one2one
B3GALNT1,zgc:162952,ortholog_many2many
B3GALNT1,zgc:194330,ortholog_many2many
B3GALNT1,si:ch211-250e5.2,ortholog_many2many
B3GALNT1,BX649337.2,ortholog_many2many
,cd226,ortholog_one2one
KPNA4,kpna4,ortholog_one2one
,si:ch211-175m2.5,ortholog_one2one
SMC4,smc4,ortholog_one2one
DOK6,dok6,ortholog_one2one
,slc25a51b,ortholog_one2many
,slc25a51a,ortholog_one2many
DCAF10,wdr32,ortholog_one2one
POLR1E,polr1e,ortholog_one2one
TMEM200C,CABZ01081294.2,ortholog_one2many
TMEM200C,TMEM200C,ortholog_one2many
IFT80,ift80,ortholog_one2one
,si:dkeyp-97b10.3,ortholog_one2one
IL12A,il12a,ortholog_one2many
IL12A,zmp:0000001127,ortholog_one2many
SEH1L,seh1l,ortholog_one2one
GRHPR,grhpra,ortholog_one2one
SPIRE1,spire1a,ortholog_one2many
SPIRE1,spire1b,ortholog_one2many
MFSD1,mfsd1,ortholog_one2one
ZCCHC7,zcchc7,ortholog_one2one
PTPN2,ptpn2a,ortholog_one2many
PTPN2,ptpn2b,ortholog_one2many
,gcfc2,ortholog_one2many
GFM1,gfm1,ortholog_one2one
PSMG2,psmg2,ortholog_one2one
LXN,lxn,ortholog_one2one
TOMM5,tomm5,ortholog_one2one
PRELID3A,prelid3a,ortholog_one2one
POT1,pot1,ortholog_one2one
CEP76,cep76,ortholog_one2one
IFRD1,ifrd1,ortholog_one2one
AFG3L2,afg3l2,ortholog_one2one
CTTNBP2,cttnbp2,ortholog_one2one
TUBB6,tubb6,ortholog_one2one
CFTR,cftr,ortholog_one2one
TMX3,tmx3a,ortholog_one2many
TMX3,tmx3b,ortholog_one2many
SNX2,snx2,ortholog_one2one
CEP192,cep192,ortholog_one2one
MOV10L1,setx,ortholog_many2many
CDH7,cdh7a,ortholog_one2many
CDH7,cdh7b,ortholog_one2many
PANX2,panx2,ortholog_one2one
PAX5,pax5,ortholog_one2one
PPIC,ppic,ortholog_one2one
TES,tes,ortholog_one2one
SHOX2,shox2,ortholog_one2one
TFEC,tfec,ortholog_one2one
PLXNB2,plxnb2a,ortholog_one2many
PLXNB2,plxnb2b,ortholog_one2many
PLXNB2,si:ch211-127b11.1,ortholog_one2many
PLXNB2,si:dkey-183c2.4,ortholog_one2many
ZNF800,znf800a,ortholog_one2many
ZNF800,znf800b,ortholog_one2many
GRM8,grm8b,ortholog_one2many
GRM8,grm8a,ortholog_one2many
DNAJB9,dnajb9b,ortholog_one2many
DNAJB9,dnajb9a,ortholog_one2many
SOCS6,socs6b,ortholog_one2many
SOCS6,socs6a,ortholog_one2many
VEPH1,veph1,ortholog_one2one
,tgm8,ortholog_many2many
,tgm5l,ortholog_many2many
ZNF407,znf407,ortholog_one2one
PTX3,ptx3b,ortholog_one2many
PTX3,ptx3a,ortholog_one2many
TSPAN12,tspan12,ortholog_one2one
CNDP2,cndp2,ortholog_one2one
AASS,aass,ortholog_one2one
CCDC102B,si:ch211-14a17.10,ortholog_one2one
MELK,melk,ortholog_one2one
GOLIM4,zgc:66479,ortholog_many2many
,CABZ01080599.1,ortholog_one2one
,plod3,ortholog_one2one
SERPINI1,serpini1,ortholog_one2one
PTPRZ1,ptprz1b,ortholog_one2many
PTPRZ1,ptprz1a,ortholog_one2many
PDCD10,pdcd10b,ortholog_one2many
PDCD10,pdcd10a,ortholog_one2many
ZNF277,znf277,ortholog_one2one
SNCAIP,sncaip,ortholog_one2one
,zbbx,ortholog_one2one
NETO1,neto1,ortholog_one2many
NETO1,neto1l,ortholog_one2many
,ccnq,ortholog_one2one
FAM3C,fam3c,ortholog_one2one
OPN1LW,opn1lw1,ortholog_one2many
OPN1LW,opn1lw2,ortholog_one2many
CBLN2,cbln2b,ortholog_one2many
CBLN2,cbln2a,ortholog_one2many
DRAP1,drap1,ortholog_one2one
,CABZ01088484.1,ortholog_one2many
DLGAP1,dlgap1b,ortholog_one2many
DLGAP1,dlgap1a,ortholog_one2many
,rela,ortholog_one2one
LPIN2,lpin2,ortholog_one2one
LRRN3,lrrn3b,ortholog_one2many
LRRN3,lrrn3a,ortholog_one2many
SRFBP1,srfbp1,ortholog_one2one
PLPP4,plpp4,ortholog_one2one
TGIF1,tgif1,ortholog_one2one
,stx4,ortholog_one2one
LOX,loxa,ortholog_one2one
,nxf1,ortholog_one2many
,zgc:153681,ortholog_one2many
MYL12A,myl12.2,ortholog_one2many
DOCK4,dock4b,ortholog_one2many
DOCK4,DOCK4,ortholog_one2many
MRPL49,MRPL49,ortholog_one2one
GMPS,gmps,ortholog_one2one
WNT16,wnt16,ortholog_one2one
CEP120,cep120,ortholog_one2one
CALU,calub,ortholog_one2many
CALU,calua,ortholog_one2many
MGMT,mgmt,ortholog_one2one
EMILIN2,emilin2b,ortholog_one2many
EMILIN2,emilin2a,ortholog_one2many
CPED1,cped1,ortholog_one2one
HOXA13,hoxa13b,ortholog_one2many
HOXA13,hoxa13a,ortholog_one2many
,syvn1,ortholog_one2one
PLCH1,plch1,ortholog_one2one
EBF3,ebf3a,ortholog_one2one
MYOM1,myom1a,ortholog_one2many
MYOM1,myom1b,ortholog_one2many
NPVF,npvf,ortholog_one2one
ING3,ing3,ortholog_one2one
CAPN1,CAPN1,ortholog_one2many
GLRX3,glrx3,ortholog_one2one
TCERG1L,TCERG1L,ortholog_one2one
HIBADH,hibadhb,ortholog_one2one
SMCHD1,smchd1,ortholog_one2one
WIPF3,wipf3,ortholog_one2one
PPP2R2D,ppp2r2d,ortholog_one2one
IMPA2,impa2,ortholog_one2one
POLA2,pola2,ortholog_one2one
MDFIC,MDFIC,ortholog_one2one
BNIP3,bnip3,ortholog_one2many
BNIP3,bnip4,ortholog_one2many
MME,kel,ortholog_one2one
FKBP14,fkbp14,ortholog_one2one
MPPE1,mppe1,ortholog_one2one
gga-mir-31,dre-mir-31,ortholog_one2one
GNAL,CABZ01075509.1,ortholog_one2one
KLHL7,klhl7,ortholog_one2one
WDR11,wdr11,ortholog_one2one
SNX24,snx24,ortholog_one2one
NUP42,nup42,ortholog_one2many
,nup42,ortholog_one2many
EML3,eml3,ortholog_one2one
FOXP2,foxp2,ortholog_one2one
GPNMB,gpnmb,ortholog_one2one
MC2R,mc2r,ortholog_one2one
FGFR2,fgfr2,ortholog_one2one
CCDC126,ccdc126,ortholog_one2one
MC5R,mc5rb,ortholog_one2many
MC5R,mc5ra,ortholog_one2many
AP4M1,ap4m1,ortholog_one2one
RNMT,rnmt,ortholog_one2one
KCND2,kcnd2,ortholog_one2one
FAM221A,fam221a,ortholog_one2one
AP1S1,ap1s1,ortholog_one2one
FAM210A,fam210aa,ortholog_one2many
FAM210A,fam210ab,ortholog_one2many
ATE1,ATE1,ortholog_one2one
,mogat3b,ortholog_one2one
,FO818699.1,ortholog_one2one
CDCA7L,cdca7b,ortholog_one2one
HMGCLL1,hmgcll1,ortholog_one2one
LDLRAD4,ldlrad4b,ortholog_one2many
LDLRAD4,ldlrad4a,ortholog_one2many
ANKRD26,si:ch211-272n13.3,ortholog_one2one
GFRAL,gfral,ortholog_one2one
GPR37,gpr37b,ortholog_one2many
GPR37,gpr37a,ortholog_one2many
HCRTR2,hcrtr2,ortholog_one2one
TAX1BP1,tax1bp1b,ortholog_one2many
TAX1BP1,tax1bp1a,ortholog_one2many
VEGFD,vegfd,ortholog_one2one
LSM8,lsm8,ortholog_one2one
NDC80,ndc80,ortholog_one2one
JAZF1,jazf1b,ortholog_one2many
JAZF1,jazf1a,ortholog_one2many
MALSU1,si:zfos-1192g2.3,ortholog_one2one
DHX36,dhx36,ortholog_one2one
DSEL,dsela,ortholog_one2one
TACC2,CU639469.1,ortholog_one2one
PRKX,prkx,ortholog_one2one
ANOS1,ANOS1,ortholog_one2many
ANOS1,anos1a,ortholog_one2many
GPR85,gpr85,ortholog_one2one
BMP5,bmp5,ortholog_one2one
BMT2,bmt2,ortholog_one2one
IGF2BP3,igf2bp3,ortholog_one2one
NLGN4Y,nlgn4xb,ortholog_one2many
NLGN4Y,nlgn4xa,ortholog_one2many
TMEM168,tmem168b,ortholog_one2many
TMEM168,tmem168a,ortholog_one2many
JAKMIP3,jakmip3,ortholog_one2one
TRA2A,tra2a,ortholog_one2one
WNT2,wnt2,ortholog_one2one
GRPR,grpr,ortholog_one2one
PHF3,phf3,ortholog_one2one
CCNL1,ccnl1a,ortholog_one2one
PTP4A1,ptp4a1,ortholog_one2one
TIPARP,tiparp,ortholog_one2one
LGSN,lgsn,ortholog_one2one
RBMS3,rbms3,ortholog_one2one
SSR3,ssr3,ortholog_one2one
DPYSL4,dpysl4,ortholog_one2one
METTL4,mettl4,ortholog_one2one
CD109,cd109,ortholog_one2one
AP1S2,ap1s2,ortholog_one2one
PLCL2,plcl2,ortholog_one2one
ZRSR2,zrsr2,ortholog_one2one
MET,met,ortholog_one2many
MET,CABZ01071972.1,ortholog_one2many
TMEM27,si:dkey-194e6.1,ortholog_one2one
CAV2,cav2,ortholog_one2one
SLC17A5,slc37a4b,ortholog_many2many
SLC17A5,slc17a5,ortholog_many2many
KCNAB1,kcnab1a,ortholog_one2many
KCNAB1,kcnab1b,ortholog_one2many
TBC1D5,tbc1d5,ortholog_one2one
ACE2,ace2,ortholog_one2one
EEF1A1,eef1a1l2,ortholog_one2many
EEF1A1,eef1a1a,ortholog_one2many
PPP1R3A,ppp1r3aa,ortholog_one2many
PPP1R3A,ppp1r3ab,ortholog_one2many
NR1D2,nr1d2b,ortholog_one2many
NR1D2,nr1d2a,ortholog_one2many
,CT583728.20,ortholog_many2many
,CT583728.18,ortholog_many2many
,AL935186.10,ortholog_many2many
,CT583728.15,ortholog_many2many
,BX548011.1,ortholog_many2many
,zgc:158463,ortholog_many2many
,CT583728.17,ortholog_many2many
SLITRK3,slitrk3a,ortholog_one2many
SLITRK3,slitrk3b,ortholog_one2many
RAP2B,rap2b,ortholog_one2one
ASMT,asmt,ortholog_one2one
TRABD,trabd,ortholog_one2one
MTO1,mto1,ortholog_one2one
SELENOO,selenoo2,ortholog_one2many
SELENOO,selenoo1,ortholog_one2many
CGAS,cgas,ortholog_one2one
PWWP2B,pwwp2b,ortholog_one2one
AKAP17A,akap17a,ortholog_one2one
,ddx43,ortholog_one2one
FHIP1B,fam160a2,ortholog_one2one
TUBGCP6,appl2,ortholog_one2one
CNGA4,cnga4,ortholog_one2one
EPB41L3,epb41l3a,ortholog_one2many
EPB41L3,epb41l3b,ortholog_one2many
THRB,thrb,ortholog_one2one
CCKBR,CCKBR,ortholog_one2many
CCKBR,si:dkey-1h24.2,ortholog_one2many
HDAC10,hdac10,ortholog_one2one
SMPD1,smpd1,ortholog_one2one
,or101-1,ortholog_one2many
NKX6-2,nkx6.2,ortholog_one2one
,szl,ortholog_one2one
CHN2,chn2,ortholog_one2many
ZBTB14,zbtb38,ortholog_one2one
EVX1,evx1,ortholog_one2many
TBL1X,tbl1x,ortholog_one2one
APBB1,apbb1,ortholog_one2one
PIGA,piga,ortholog_one2one
MAPK12,mapk12a,ortholog_one2many
MAPK12,mapk12b,ortholog_one2many
HPX,hpxb,ortholog_one2one
OPNVA,valopb,ortholog_one2many
OPNVA,valopa,ortholog_one2many
TRIM3,trim3b,ortholog_one2many
TRIM3,trim3a,ortholog_one2many
MOSPD2,mospd2,ortholog_one2one
DLGAP2,dlgap2a,ortholog_one2many
DLGAP2,dlgap2b,ortholog_one2many
ARFIP2,arfip2b,ortholog_one2many
ARFIP2,arfip2a,ortholog_one2many
MAPK11,BX324164.5,ortholog_one2many
MAPK11,mapk11,ortholog_one2many
FANCB,fancb,ortholog_one2one
B3GAT2,b3gat2,ortholog_one2one
TIMM10B,timm10b,ortholog_one2one
,hsd17b8,ortholog_one2many
RPS11,rps11,ortholog_one2many
RPS11,si:dkey-159f12.2,ortholog_one2many
GLRA2,glra2,ortholog_one2one
SMAP1,smap1,ortholog_one2one
SPAM1,spam1,ortholog_one2one
PIEZO2,LO018508.1,ortholog_one2many
PIEZO2,PIEZO2,ortholog_one2many
PIEZO2,piezo2a.2,ortholog_one2many
SHOX,shox,ortholog_one2one
HYAL6,hyal6,ortholog_one2one
SDHAF4,sdhaf4,ortholog_one2one
SYAP1,syap1,ortholog_one2one
NAPG,napgb,ortholog_one2many
NAPG,napga,ortholog_one2many
gga-mir-16-2,dre-mir-16a,ortholog_one2one
WASL,waslb,ortholog_many2many
WASL,wasla,ortholog_many2many
gga-mir-15b,dre-mir-15c,ortholog_one2one
ILK,ilk,ortholog_one2one
NKIRAS1,nkiras1,ortholog_one2one
LMOD2,lmod2a,ortholog_one2many
LMOD2,lmod2b,ortholog_one2many
FAM135A,fam135a,ortholog_one2one
TAF10,taf10,ortholog_one2one
RPL15,rpl15,ortholog_one2one
ASB15,asb15a,ortholog_one2many
ASB15,asb15b,ortholog_one2many
NDUFA5,ndufa5,ortholog_one2one
PLEKHA1,plekha1a,ortholog_one2many
PLEKHA1,plekha1b,ortholog_one2many
,dchs1b,ortholog_one2many
,dchs1a,ortholog_one2many
HTRA1,htra1b,ortholog_one2many
HTRA1,htra1a,ortholog_one2many
IQUB,iqub,ortholog_one2one
AADAC,aadac,ortholog_one2one
LCMT2,lcmt2,ortholog_one2one
CREB5,creb5b,ortholog_one2many
CREB5,creb5a,ortholog_one2many
PNPLA4,pnpla4,ortholog_one2one
SLC13A1,slc13a1,ortholog_one2one
TRIL,tril,ortholog_one2one
STARD10,stard10,ortholog_one2one
TM4SF1,tm4sf18,ortholog_one2one
MTA2,mta2,ortholog_one2one
COL9A1,col9a1a,ortholog_one2one
STS,sts,ortholog_one2one
PUDP,pudp,ortholog_one2one
CADPS2,cadps2,ortholog_one2one
KCNH8,kcnh8,ortholog_one2one
VAPA,vapal,ortholog_one2many
VAPA,top1mt,ortholog_one2many
EFHB,efhb,ortholog_one2one
AVPR2,si:dkey-178o16.4,ortholog_one2one
ARRB1,arrb1,ortholog_one2one
PNPLA8,pnpla8,ortholog_one2one
